Test Name,M-max Lower Leg Ampl Lines
Test Item,Left Gastroc
Patient Name,"followup  s2718tdvg"
Patient ID,
Test Date,11/19/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 28 mA : 200 탎","Tr 3 : 67 mA : 200 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 200 탎","Tr 6 : 100 mA : 200 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 300 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 400 탎","Tr 11 : 100 mA : 400 탎","Tr 12 : 100 mA : 400 탎","Tr 13 : 100 mA : 500 탎"
Sensitivity (킮/Div),1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (킮),32.043457031,25.177001953,30.517578125,41.961669922,32.043457031,38.146972656,34.332275391,27.465820313,14.495849609,23.651123047,19.836425781,33.569335938,38.909912109
,30.517578125,22.888183594,29.754638672,39.672851563,31.280517578,37.384033203,32.043457031,25.939941406,19.073486328,25.177001953,21.362304688,33.569335938,37.384033203
,30.517578125,20.599365234,28.228759766,37.384033203,30.517578125,35.095214844,29.754638672,24.414062500,21.362304688,26.702880859,22.888183594,32.806396484,36.621093750
,31.280517578,20.599365234,27.465820313,35.095214844,29.754638672,32.806396484,28.228759766,23.651123047,22.125244141,27.465820313,22.125244141,31.280517578,35.858154297
,31.280517578,21.362304688,26.702880859,34.332275391,30.517578125,31.280517578,28.228759766,24.414062500,22.888183594,27.465820313,20.599365234,30.517578125,35.858154297
,32.806396484,22.125244141,25.939941406,32.806396484,31.280517578,29.754638672,27.465820313,24.414062500,21.362304688,27.465820313,20.599365234,29.754638672,35.095214844
,33.569335938,23.651123047,24.414062500,32.043457031,32.043457031,30.517578125,26.702880859,25.177001953,21.362304688,25.939941406,20.599365234,28.228759766,35.095214844
,32.806396484,24.414062500,23.651123047,31.280517578,32.806396484,31.280517578,25.177001953,25.177001953,21.362304688,25.177001953,22.888183594,26.702880859,35.095214844
,32.806396484,24.414062500,22.888183594,29.754638672,32.043457031,29.754638672,22.888183594,25.177001953,21.362304688,25.939941406,24.414062500,24.414062500,34.332275391
,32.806396484,24.414062500,23.651123047,28.991699219,31.280517578,28.991699219,21.362304688,25.939941406,22.125244141,25.939941406,25.177001953,22.888183594,34.332275391
,33.569335938,24.414062500,25.177001953,28.991699219,29.754638672,27.465820313,20.599365234,27.465820313,21.362304688,25.939941406,24.414062500,20.599365234,33.569335938
,35.095214844,25.177001953,27.465820313,28.991699219,27.465820313,24.414062500,20.599365234,28.991699219,22.125244141,25.177001953,22.888183594,19.836425781,33.569335938
