Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"followup  s2718tdvg"
Patient ID,
Test Date,11/19/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 0 mA : 100 탎","Tr 3 : 21 mA : 100 탎","Tr 4 : 73 mA : 100 탎","Tr 5 : 73 mA : 100 탎","Tr 6 : 100 mA : 100 탎","Tr 7 : 100 mA : 100 탎","Tr 8 : 100 mA : 100 탎","Tr 9 : 100 mA : 200 탎","Tr 10 : 100 mA : 300 탎","Tr 11 : 100 mA : 400 탎","Tr 12 : 100 mA : 550 탎","Tr 13 : 100 mA : 600 탎","Tr 14 : 100 mA : 600 탎"
Sensitivity (킮/Div),1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (킮),25.939941406,26.702880859,35.858154297,33.569335938,22.125244141,22.888183594,25.177001953,10.681152344,22.125244141,32.043457031,25.939941406,28.228759766,16.021728516,25.177001953
,28.228759766,26.702880859,34.332275391,33.569335938,22.125244141,19.836425781,25.177001953,13.732910156,22.888183594,32.806396484,25.177001953,28.991699219,17.547607422,25.177001953
,30.517578125,27.465820313,35.095214844,35.095214844,24.414062500,16.784667969,26.702880859,16.021728516,24.414062500,33.569335938,25.177001953,28.991699219,19.073486328,26.702880859
,32.043457031,28.228759766,36.621093750,35.858154297,25.177001953,15.258789063,26.702880859,16.784667969,25.939941406,32.806396484,25.939941406,29.754638672,19.836425781,26.702880859
,32.806396484,28.991699219,38.146972656,35.858154297,25.177001953,15.258789063,25.939941406,18.310546875,26.702880859,31.280517578,25.177001953,29.754638672,19.836425781,25.177001953
,31.280517578,29.754638672,40.435791016,37.384033203,25.177001953,16.784667969,25.177001953,19.073486328,28.228759766,31.280517578,25.177001953,29.754638672,20.599365234,24.414062500
,29.754638672,28.991699219,41.198730469,38.146972656,22.888183594,19.073486328,24.414062500,20.599365234,28.991699219,31.280517578,25.177001953,30.517578125,21.362304688,23.651123047
,29.754638672,28.991699219,42.724609375,38.146972656,22.888183594,20.599365234,24.414062500,22.888183594,29.754638672,32.043457031,25.939941406,31.280517578,22.888183594,23.651123047
,28.228759766,28.228759766,43.487548828,40.435791016,23.651123047,20.599365234,24.414062500,24.414062500,29.754638672,32.043457031,28.228759766,32.043457031,23.651123047,24.414062500
,28.991699219,28.991699219,44.250488281,43.487548828,24.414062500,20.599365234,25.177001953,25.177001953,30.517578125,32.043457031,29.754638672,33.569335938,24.414062500,24.414062500
,29.754638672,29.754638672,45.776367188,48.065185547,25.939941406,19.836425781,25.177001953,25.177001953,31.280517578,30.517578125,31.280517578,34.332275391,24.414062500,24.414062500
,29.754638672,29.754638672,47.302246094,52.642822266,25.939941406,19.836425781,25.177001953,24.414062500,32.043457031,29.754638672,32.806396484,35.858154297,23.651123047,22.888183594
,30.517578125,30.517578125,48.828125000,54.931640625,25.177001953,22.125244141,25.939941406,24.414062500,32.043457031,28.991699219,33.569335938,37.384033203,23.651123047,20.599365234
,30.517578125,30.517578125,48.828125000,54.168701172,25.177001953,23.651123047,27.465820313,22.888183594,31.280517578,28.991699219,34.332275391,38.146972656,24.414062500,19.073486328
,30.517578125,30.517578125,48.065185547,51.879882813,25.177001953,23.651123047,28.991699219,22.125244141,30.517578125,27.465820313,35.095214844,38.909912109,24.414062500,16.784667969
,31.280517578,30.517578125,48.065185547,47.302246094,26.702880859,24.414062500,30.517578125,22.125244141,30.517578125,25.939941406,36.621093750,39.672851563,25.177001953,17.547607422
,32.043457031,31.280517578,46.539306641,43.487548828,28.228759766,23.651123047,30.517578125,21.362304688,30.517578125,24.414062500,36.621093750,40.435791016,25.177001953,17.547607422
,32.806396484,31.280517578,46.539306641,41.198730469,28.991699219,23.651123047,30.517578125,21.362304688,32.043457031,22.888183594,36.621093750,41.961669922,24.414062500,17.547607422
,33.569335938,32.043457031,48.065185547,39.672851563,29.754638672,23.651123047,31.280517578,22.125244141,33.569335938,22.125244141,35.858154297,43.487548828,23.651123047,17.547607422
,34.332275391,32.043457031,48.828125000,38.909912109,29.754638672,24.414062500,31.280517578,22.125244141,35.095214844,22.125244141,35.095214844,45.013427734,22.888183594,16.784667969
,35.858154297,31.280517578,49.591064453,36.621093750,29.754638672,24.414062500,30.517578125,23.651123047,35.095214844,21.362304688,35.095214844,45.013427734,21.362304688,15.258789063
,36.621093750,31.280517578,50.354003906,35.858154297,30.517578125,24.414062500,29.754638672,23.651123047,35.858154297,21.362304688,35.095214844,44.250488281,20.599365234,14.495849609
,37.384033203,31.280517578,49.591064453,34.332275391,31.280517578,24.414062500,28.991699219,24.414062500,35.858154297,19.836425781,35.858154297,42.724609375,19.836425781,13.732910156
,38.146972656,31.280517578,49.591064453,32.806396484,32.806396484,23.651123047,28.228759766,25.939941406,36.621093750,18.310546875,35.858154297,40.435791016,19.073486328,12.969970703
,38.146972656,31.280517578,48.065185547,32.806396484,35.858154297,22.888183594,28.228759766,25.939941406,37.384033203,17.547607422,35.095214844,38.146972656,20.599365234,12.969970703
,38.909912109,31.280517578,45.776367188,32.043457031,37.384033203,22.888183594,28.991699219,26.702880859,38.909912109,16.784667969,35.858154297,36.621093750,20.599365234,12.969970703
,39.672851563,32.043457031,41.961669922,32.043457031,37.384033203,22.125244141,30.517578125,27.465820313,38.909912109,16.784667969,36.621093750,35.095214844,21.362304688,13.732910156
,40.435791016,32.806396484,39.672851563,32.043457031,37.384033203,22.888183594,31.280517578,27.465820313,39.672851563,18.310546875,38.909912109,33.569335938,22.888183594,14.495849609
,42.724609375,32.806396484,38.146972656,31.280517578,36.621093750,24.414062500,32.043457031,28.228759766,39.672851563,19.836425781,39.672851563,32.806396484,23.651123047,14.495849609
,43.487548828,32.806396484,37.384033203,30.517578125,36.621093750,25.177001953,32.043457031,28.991699219,40.435791016,22.125244141,38.909912109,32.806396484,24.414062500,15.258789063
,43.487548828,32.043457031,37.384033203,28.991699219,36.621093750,25.177001953,32.043457031,28.991699219,41.961669922,22.888183594,37.384033203,32.043457031,25.177001953,16.021728516
,44.250488281,32.043457031,35.858154297,25.939941406,37.384033203,25.939941406,32.043457031,28.991699219,44.250488281,23.651123047,33.569335938,32.043457031,25.939941406,17.547607422
,43.487548828,34.332275391,35.858154297,24.414062500,38.146972656,25.939941406,32.043457031,28.228759766,45.013427734,24.414062500,30.517578125,32.043457031,25.939941406,18.310546875
,43.487548828,36.621093750,35.095214844,22.888183594,38.146972656,25.939941406,32.043457031,28.991699219,43.487548828,24.414062500,28.991699219,31.280517578,25.939941406,19.836425781
,43.487548828,38.909912109,35.858154297,22.125244141,38.909912109,27.465820313,32.806396484,29.754638672,41.198730469,25.177001953,28.991699219,29.754638672,25.939941406,22.125244141
,44.250488281,40.435791016,38.146972656,22.125244141,39.672851563,27.465820313,32.806396484,29.754638672,38.146972656,25.177001953,29.754638672,28.991699219,25.177001953,23.651123047
,45.776367188,41.198730469,39.672851563,20.599365234,39.672851563,27.465820313,31.280517578,30.517578125,35.095214844,24.414062500,31.280517578,28.228759766,24.414062500,25.177001953
,45.013427734,41.198730469,40.435791016,19.073486328,39.672851563,26.702880859,29.754638672,31.280517578,35.095214844,22.888183594,32.043457031,27.465820313,23.651123047,25.177001953
,45.013427734,38.909912109,40.435791016,17.547607422,38.146972656,25.177001953,28.228759766,32.043457031,35.095214844,22.125244141,32.806396484,27.465820313,22.888183594,23.651123047
,43.487548828,37.384033203,39.672851563,15.258789063,35.095214844,24.414062500,27.465820313,32.806396484,35.095214844,21.362304688,32.806396484,27.465820313,21.362304688,22.888183594
,41.198730469,35.858154297,37.384033203,15.258789063,32.806396484,23.651123047,26.702880859,32.806396484,35.095214844,21.362304688,32.806396484,26.702880859,21.362304688,22.125244141
,39.672851563,34.332275391,35.858154297,15.258789063,31.280517578,25.177001953,27.465820313,32.806396484,34.332275391,21.362304688,33.569335938,26.702880859,21.362304688,22.888183594
,38.146972656,35.095214844,33.569335938,16.021728516,30.517578125,26.702880859,27.465820313,32.806396484,32.806396484,21.362304688,33.569335938,25.177001953,22.125244141,23.651123047
,38.146972656,36.621093750,32.043457031,17.547607422,30.517578125,28.228759766,27.465820313,32.043457031,31.280517578,21.362304688,32.806396484,24.414062500,24.414062500,24.414062500
,38.146972656,36.621093750,31.280517578,19.073486328,30.517578125,29.754638672,27.465820313,32.043457031,29.754638672,20.599365234,32.043457031,23.651123047,24.414062500,22.888183594
,38.146972656,38.146972656,30.517578125,21.362304688,28.991699219,30.517578125,28.228759766,32.043457031,29.754638672,19.836425781,30.517578125,23.651123047,25.177001953,21.362304688
,38.146972656,38.909912109,29.754638672,22.125244141,27.465820313,32.043457031,29.754638672,32.043457031,29.754638672,20.599365234,28.991699219,22.888183594,25.177001953,19.836425781
,38.146972656,38.146972656,28.991699219,22.125244141,24.414062500,34.332275391,32.043457031,31.280517578,28.991699219,21.362304688,28.228759766,22.125244141,24.414062500,19.836425781
,37.384033203,38.146972656,27.465820313,21.362304688,22.888183594,34.332275391,33.569335938,31.280517578,28.991699219,22.125244141,28.228759766,20.599365234,24.414062500,20.599365234
,36.621093750,37.384033203,25.939941406,19.836425781,22.125244141,35.095214844,35.095214844,29.754638672,28.228759766,23.651123047,27.465820313,19.073486328,24.414062500,22.888183594
,34.332275391,36.621093750,24.414062500,19.073486328,22.888183594,35.095214844,35.858154297,29.754638672,27.465820313,24.414062500,25.939941406,17.547607422,23.651123047,25.177001953
,32.043457031,36.621093750,23.651123047,19.073486328,23.651123047,34.332275391,35.858154297,30.517578125,25.939941406,25.177001953,24.414062500,16.021728516,23.651123047,25.939941406
,30.517578125,36.621093750,22.888183594,18.310546875,22.888183594,35.095214844,36.621093750,32.043457031,23.651123047,23.651123047,23.651123047,14.495849609,22.125244141,25.939941406
,27.465820313,37.384033203,23.651123047,19.073486328,22.125244141,35.095214844,37.384033203,34.332275391,22.125244141,22.125244141,22.888183594,12.969970703,21.362304688,25.177001953
,27.465820313,37.384033203,23.651123047,19.073486328,20.599365234,35.858154297,38.146972656,35.095214844,20.599365234,21.362304688,22.888183594,13.732910156,21.362304688,25.177001953
,26.702880859,36.621093750,23.651123047,18.310546875,19.073486328,37.384033203,38.909912109,35.095214844,19.836425781,19.836425781,23.651123047,15.258789063,20.599365234,25.939941406
,27.465820313,34.332275391,25.177001953,19.073486328,19.073486328,37.384033203,38.146972656,34.332275391,19.836425781,20.599365234,24.414062500,16.784667969,22.125244141,26.702880859
,27.465820313,31.280517578,25.939941406,19.073486328,19.073486328,37.384033203,37.384033203,34.332275391,20.599365234,20.599365234,24.414062500,19.073486328,22.125244141,26.702880859
,27.465820313,28.991699219,27.465820313,18.310546875,19.836425781,38.146972656,38.146972656,34.332275391,20.599365234,21.362304688,23.651123047,19.836425781,22.888183594,26.702880859
,26.702880859,28.228759766,28.991699219,19.836425781,19.836425781,37.384033203,38.146972656,35.095214844,21.362304688,22.125244141,22.125244141,20.599365234,24.414062500,25.939941406
,25.939941406,27.465820313,29.754638672,19.836425781,19.073486328,37.384033203,38.909912109,36.621093750,20.599365234,23.651123047,22.125244141,22.125244141,25.939941406,25.939941406
,24.414062500,29.754638672,29.754638672,22.888183594,18.310546875,109.100341797,129.699707031,70.190429688,53.405761719,552.368164063,22.888183594,22.125244141,156.402587891,626.373291016
,23.651123047,30.517578125,872.039794922,1176.452636719,1578.521728516,1156.616210938,1248.168945313,1239.776611328,1637.268066406,2639.007568359,1584.625244141,1583.099365234,1839.447021484,2784.729003906
,21.362304688,31.280517578,1700.592041016,2296.447753906,3076.934814453,2152.252197266,2299.499511719,2364.349365234,3112.030029297,6126.403808594,4708.099365234,4705.810546875,5080.413818359,6503.295898438
,19.836425781,30.517578125,2516.174316406,3374.481201172,4519.653320313,3085.327148438,3270.721435547,3427.886962891,4468.536376953,9466.552734375,9391.021728516,9388.732910156,9881.591796875,11782.836914063
,18.310546875,29.754638672,3318.023681641,4401.397705078,5905.914306641,3809.356689453,3981.018066406,4364.776611328,5632.019042969,11573.791503906,13840.484619141,15585.327148438,15903.472900391,16889.190673828
,17.547607422,29.754638672,2423.095703125,3087.615966797,4113.769531250,2517.700195313,2553.558349609,2970.123291016,3566.741943359,10385.131835938,14936.828613281,18377.685546875,18478.393554688,18514.251708984
,17.547607422,28.991699219,1544.952392578,1799.011230469,2393.341064453,1269.531250000,1183.319091797,1604.461669922,1594.543457031,6215.667724609,12675.476074219,17731.475830078,17557.525634766,16631.317138672
,17.547607422,29.754638672,685.119628906,555.419921875,730.895996094,87.738037109,-102.233886719,300.598144531,-263.214111328,2165.985107422,7059.478759766,13646.697998047,13141.632080078,11240.386962891
,16.784667969,28.991699219,-157.928466797,-634.765625000,-866.699218750,-949.859619141,-1210.784912109,-904.083251953,-1953.125000000,-1169.586181641,1679.992675781,6221.771240234,5532.073974609,4015.350341797
,15.258789063,27.465820313,-146.484375000,-629.425048828,-842.285156250,-942.230224609,-1202.392578125,-906.372070313,-1953.887939453,-2754.211425781,-1898.956298828,616.455078125,-201.416015625,-1291.656494141
,14.495849609,25.939941406,-136.566162109,-612.640380859,-821.685791016,-918.579101563,-1177.215576172,-887.298583984,-1927.185058594,-2742.767333984,-3664.398193359,-3093.719482422,-3978.729248047,-4627.227783203
,14.495849609,22.888183594,-129.699707031,-593.566894531,-798.034667969,-893.402099609,-1148.223876953,-864.410400391,-1882.934570313,-2687.835693359,-3613.281250000,-4900.360107422,-5788.421630859,-5982.971191406
,15.258789063,21.362304688,-125.122070313,-574.493408203,-776.672363281,-867.462158203,-1119.995117188,-839.996337891,-1834.869384766,-2623.748779297,-3544.616699219,-4853.820800781,-5718.994140625,-5898.284912109
,16.021728516,21.362304688,-121.307373047,-556.945800781,-755.310058594,-842.285156250,-1091.003417969,-816.345214844,-1785.278320313,-2557.373046875,-3461.456298828,-4753.112792969,-5596.923828125,-5770.874023438
,16.784667969,21.362304688,-116.729736328,-538.635253906,-733.947753906,-818.634033203,-1062.011718750,-793.457031250,-1736.450195313,-2490.234375000,-3374.481201172,-4640.197753906,-5461.883544922,-5632.019042969
,16.784667969,20.599365234,-112.152099609,-521.087646484,-713.348388672,-796.508789063,-1032.257080078,-772.094726563,-1689.910888672,-2423.858642578,-3287.506103516,-4523.468017578,-5325.317382813,-5490.875244141
,16.784667969,19.836425781,-106.811523438,-503.540039063,-691.986083984,-775.146484375,-1003.265380859,-751.495361328,-1644.134521484,-2357.482910156,-3202.056884766,-4405.212402344,-5190.277099609,-5350.494384766
,16.021728516,18.310546875,-101.470947266,-486.755371094,-671.386718750,-753.784179688,-974.273681641,-730.895996094,-1599.884033203,-2291.870117188,-3118.896484375,-4289.245605469,-5058.288574219,-5212.402343750
,16.784667969,16.784667969,-96.130371094,-470.733642578,-650.024414063,-733.184814453,-946.807861328,-711.059570313,-1557.922363281,-2228.546142578,-3038.787841797,-4176.330566406,-4929.351806641,-5078.887939453
,17.547607422,16.784667969,-91.552734375,-456.237792969,-630.187988281,-713.348388672,-920.867919922,-691.986083984,-1515.960693359,-2167.510986328,-2960.205078125,-4067.230224609,-4803.466796875,-4949.951171875
,18.310546875,16.784667969,-88.500976563,-444.030761719,-613.403320313,-694.274902344,-897.979736328,-673.675537109,-1477.813720703,-2111.053466797,-2884.674072266,-3961.944580078,-4683.685302734,-4826.354980469
,19.073486328,17.547607422,-83.923339844,-433.349609375,-598.144531250,-678.253173828,-878.143310547,-656.890869141,-1441.955566406,-2060.699462891,-2811.431884766,-3862.762451172,-4569.244384766,-4708.862304688
,19.836425781,19.836425781,-80.871582031,-424.194335938,-586.700439453,-664.520263672,-864.410400391,-643.157958984,-1410.675048828,-2015.686035156,-2741.241455078,-3769.683837891,-4462.432861328,-4598.236083984
,19.073486328,21.362304688,-77.056884766,-418.853759766,-579.071044922,-657.653808594,-856.781005859,-634.002685547,-1388.549804688,-1979.064941406,-2678.680419922,-3687.286376953,-4367.828369141,-4499.053955078
,19.836425781,22.888183594,-72.479248047,-415.802001953,-578.308105469,-657.653808594,-858.306884766,-631.713867188,-1372.528076172,-1950.836181641,-2626.800537109,-3616.333007813,-4283.905029297,-4411.315917969
