Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 80 mA : 200 탎","Tr 3 : 100 mA : 200 탎","Tr 4 : 100 mA : 300 탎","Tr 5 : 100 mA : 400 탎","Tr 6 : 100 mA : 400 탎","Tr 7 : 100 mA : 400 탎","Tr 8 : 100 mA : 400 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 500 탎","Tr 11 : 100 mA : 500 탎","Tr 12 : 100 mA : 500 탎","Tr 13 : 100 mA : 500 탎"
Sensitivity (킮/Div),1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (킮),36.621093750,47.302246094,44.250488281,24.414062500,76.293945313,65.612792969,40.435791016,26.702880859,9.155273438,8.392333984,23.651123047,5.340576172,35.095214844
,33.569335938,47.302246094,45.776367188,25.939941406,77.056884766,64.849853516,39.672851563,25.177001953,11.444091797,9.918212891,23.651123047,6.103515625,32.806396484
,30.517578125,46.539306641,46.539306641,27.465820313,77.819824219,62.561035156,40.435791016,22.888183594,12.207031250,11.444091797,22.125244141,6.866455078,29.754638672
,27.465820313,45.013427734,48.828125000,29.754638672,76.293945313,61.798095703,41.961669922,21.362304688,12.969970703,12.969970703,20.599365234,6.866455078,26.702880859
,25.177001953,43.487548828,48.065185547,32.043457031,74.005126953,60.272216797,43.487548828,20.599365234,13.732910156,14.495849609,20.599365234,6.103515625,23.651123047
,24.414062500,41.198730469,50.354003906,34.332275391,70.953369141,57.983398438,45.776367188,18.310546875,14.495849609,16.021728516,19.836425781,7.629394531,21.362304688
,24.414062500,41.198730469,51.879882813,37.384033203,67.901611328,56.457519531,48.065185547,16.021728516,15.258789063,16.784667969,22.125244141,8.392333984,18.310546875
,25.177001953,41.961669922,52.642822266,41.198730469,63.323974609,54.931640625,49.591064453,13.732910156,16.784667969,16.784667969,23.651123047,9.155273438,16.784667969
,25.939941406,42.724609375,54.168701172,44.250488281,58.746337891,54.168701172,50.354003906,10.681152344,19.836425781,16.784667969,25.177001953,10.681152344,14.495849609
,26.702880859,44.250488281,54.931640625,47.302246094,54.168701172,54.168701172,51.879882813,10.681152344,22.125244141,16.021728516,28.228759766,11.444091797,11.444091797
,28.228759766,44.250488281,54.168701172,50.354003906,50.354003906,53.405761719,53.405761719,10.681152344,25.177001953,15.258789063,28.228759766,12.207031250,9.918212891
,29.754638672,45.013427734,54.168701172,51.879882813,45.776367188,51.116943359,56.457519531,11.444091797,28.228759766,15.258789063,28.228759766,12.207031250,9.918212891
