Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 58 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 100 탎","Tr 6 : 100 mA : 100 탎","Tr 7 : 100 mA : 150 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 350 탎","Tr 10 : 100 mA : 450 탎","Tr 11 : 100 mA : 450 탎","Tr 12 : 100 mA : 450 탎"
Sensitivity (킮/Div),1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (킮),12.207031250,15.258789063,-4.577636719,28.228759766,31.280517578,30.517578125,44.250488281,12.969970703,32.043457031,22.888183594,20.599365234,12.207031250
,10.681152344,15.258789063,-4.577636719,26.702880859,31.280517578,28.228759766,44.250488281,13.732910156,30.517578125,25.177001953,20.599365234,12.207031250
,9.155273438,15.258789063,-3.051757813,28.228759766,32.043457031,25.939941406,45.013427734,15.258789063,31.280517578,27.465820313,21.362304688,12.969970703
,9.155273438,14.495849609,-1.525878906,29.754638672,31.280517578,21.362304688,45.776367188,16.784667969,32.043457031,28.991699219,22.125244141,13.732910156
,9.155273438,12.969970703,0.000000000,32.806396484,30.517578125,16.784667969,45.013427734,17.547607422,33.569335938,32.806396484,22.125244141,13.732910156
,10.681152344,10.681152344,3.814697266,38.146972656,30.517578125,12.207031250,45.776367188,17.547607422,36.621093750,35.095214844,22.888183594,16.021728516
,12.969970703,9.918212891,6.866455078,41.198730469,30.517578125,8.392333984,46.539306641,17.547607422,38.146972656,37.384033203,23.651123047,17.547607422
,15.258789063,9.155273438,12.207031250,44.250488281,31.280517578,5.340576172,46.539306641,18.310546875,41.198730469,40.435791016,24.414062500,19.073486328
,18.310546875,9.155273438,16.784667969,45.013427734,32.043457031,3.051757813,47.302246094,19.836425781,43.487548828,41.961669922,25.177001953,21.362304688
,20.599365234,9.918212891,22.888183594,45.013427734,31.280517578,1.525878906,47.302246094,21.362304688,45.013427734,42.724609375,25.177001953,21.362304688
,21.362304688,11.444091797,28.228759766,45.013427734,30.517578125,0.000000000,45.776367188,22.888183594,46.539306641,43.487548828,25.177001953,21.362304688
,21.362304688,12.969970703,31.280517578,44.250488281,30.517578125,-0.762939453,45.013427734,24.414062500,46.539306641,43.487548828,25.177001953,22.125244141
,20.599365234,15.258789063,32.806396484,44.250488281,30.517578125,0.000000000,42.724609375,25.177001953,47.302246094,42.724609375,25.939941406,23.651123047
,19.836425781,16.784667969,33.569335938,45.013427734,31.280517578,0.000000000,41.198730469,26.702880859,48.828125000,41.961669922,26.702880859,25.177001953
,19.073486328,19.836425781,31.280517578,43.487548828,32.043457031,3.051757813,39.672851563,28.228759766,48.828125000,40.435791016,26.702880859,26.702880859
,17.547607422,21.362304688,31.280517578,44.250488281,33.569335938,5.340576172,38.146972656,28.991699219,49.591064453,38.909912109,28.228759766,28.991699219
,16.784667969,23.651123047,30.517578125,45.013427734,34.332275391,6.866455078,37.384033203,28.991699219,48.828125000,37.384033203,28.228759766,29.754638672
,17.547607422,25.177001953,29.754638672,43.487548828,36.621093750,8.392333984,35.858154297,28.228759766,48.065185547,37.384033203,28.991699219,29.754638672
,18.310546875,25.939941406,29.754638672,43.487548828,39.672851563,9.918212891,35.858154297,26.702880859,48.065185547,37.384033203,29.754638672,30.517578125
,21.362304688,26.702880859,28.991699219,42.724609375,41.961669922,11.444091797,35.858154297,24.414062500,47.302246094,35.858154297,28.991699219,30.517578125
