Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 58 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 150 탎","Tr 6 : 100 mA : 200 탎","Tr 7 : 100 mA : 250 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 250 탎","Tr 10 : 100 mA : 250 탎"
Sensitivity (킮/Div),1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640
Trace Data (킮),-0.762939453,28.228759766,23.651123047,6.103515625,13.732910156,18.310546875,51.879882813,13.732910156,9.918212891,20.599365234
,-3.051757813,30.517578125,25.939941406,3.814697266,12.969970703,15.258789063,50.354003906,14.495849609,12.207031250,19.836425781
,-4.577636719,32.806396484,29.754638672,2.288818359,12.969970703,12.969970703,49.591064453,16.021728516,14.495849609,19.836425781
,-5.340576172,35.095214844,33.569335938,1.525878906,11.444091797,12.207031250,48.828125000,18.310546875,17.547607422,19.836425781
,-6.103515625,38.146972656,38.146972656,0.762939453,9.918212891,12.969970703,49.591064453,19.836425781,19.836425781,19.073486328
,-6.866455078,41.198730469,42.724609375,0.762939453,7.629394531,12.207031250,49.591064453,21.362304688,22.125244141,18.310546875
,-9.155273438,43.487548828,45.776367188,0.000000000,4.577636719,12.969970703,48.828125000,21.362304688,23.651123047,16.784667969
,-9.918212891,45.776367188,48.065185547,-1.525878906,1.525878906,13.732910156,48.065185547,19.836425781,24.414062500,14.495849609
,-10.681152344,48.065185547,48.828125000,-3.814697266,0.000000000,14.495849609,45.013427734,19.073486328,24.414062500,12.207031250
,-9.918212891,47.302246094,48.828125000,-6.103515625,0.000000000,16.784667969,42.724609375,18.310546875,22.888183594,9.155273438
,-7.629394531,47.302246094,48.065185547,-7.629394531,0.000000000,18.310546875,40.435791016,19.836425781,20.599365234,6.103515625
,-6.103515625,45.776367188,48.065185547,-9.918212891,1.525878906,18.310546875,38.909912109,21.362304688,16.784667969,3.814697266
,-4.577636719,41.961669922,47.302246094,-12.207031250,3.051757813,17.547607422,38.909912109,23.651123047,15.258789063,3.051757813
,-3.051757813,40.435791016,47.302246094,-14.495849609,5.340576172,16.784667969,39.672851563,25.939941406,12.969970703,3.051757813
,-3.051757813,37.384033203,47.302246094,-16.784667969,6.866455078,15.258789063,38.909912109,27.465820313,12.207031250,3.051757813
,-2.288818359,35.095214844,47.302246094,-19.836425781,8.392333984,15.258789063,38.909912109,29.754638672,11.444091797,3.051757813
,-0.762939453,35.095214844,47.302246094,-21.362304688,10.681152344,14.495849609,37.384033203,32.043457031,9.155273438,3.051757813
,0.762939453,35.095214844,46.539306641,-22.888183594,11.444091797,13.732910156,35.858154297,32.806396484,8.392333984,3.051757813
,4.577636719,34.332275391,45.013427734,-25.177001953,12.969970703,12.207031250,35.858154297,35.858154297,7.629394531,4.577636719
