Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"post  s2718tdvg"
Patient ID,
Test Date,10/15/2019
Trace Label,"Tr 1 : 0 mA : 200 µs","Tr 2 : 46 mA : 200 µs","Tr 3 : 100 mA : 200 µs","Tr 4 : 100 mA : 300 µs","Tr 5 : 100 mA : 400 µs","Tr 6 : 100 mA : 400 µs"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640
Trace Data (µV),31.280517578,23.651123047,37.384033203,14.495849609,23.651123047,6.103515625
,28.991699219,23.651123047,34.332275391,14.495849609,25.939941406,6.866455078
,26.702880859,24.414062500,31.280517578,13.732910156,27.465820313,8.392333984
,24.414062500,25.177001953,28.228759766,12.969970703,28.228759766,9.155273438
,22.888183594,25.939941406,25.939941406,12.969970703,28.228759766,9.918212891
,21.362304688,27.465820313,24.414062500,13.732910156,27.465820313,10.681152344
,18.310546875,28.228759766,23.651123047,15.258789063,25.177001953,11.444091797
,16.784667969,28.991699219,21.362304688,17.547607422,25.177001953,12.207031250
,13.732910156,28.228759766,19.836425781,19.073486328,25.177001953,12.207031250
,11.444091797,26.702880859,18.310546875,19.836425781,24.414062500,11.444091797
,10.681152344,25.177001953,15.258789063,19.836425781,25.177001953,12.207031250
,10.681152344,25.177001953,13.732910156,19.073486328,25.177001953,12.969970703
,10.681152344,26.702880859,12.207031250,18.310546875,25.939941406,14.495849609
,11.444091797,28.991699219,10.681152344,17.547607422,28.228759766,16.784667969
,12.207031250,31.280517578,10.681152344,17.547607422,29.754638672,17.547607422
,11.444091797,32.806396484,10.681152344,17.547607422,31.280517578,18.310546875
,10.681152344,33.569335938,11.444091797,16.784667969,32.806396484,18.310546875
,9.918212891,34.332275391,11.444091797,16.021728516,33.569335938,16.784667969
,9.155273438,35.095214844,12.207031250,15.258789063,34.332275391,16.021728516
,8.392333984,37.384033203,12.969970703,14.495849609,35.095214844,16.021728516
,9.918212891,38.909912109,13.732910156,14.495849609,36.621093750,16.021728516
,10.681152344,40.435791016,15.258789063,14.495849609,38.146972656,16.784667969
,12.969970703,41.961669922,16.021728516,15.258789063,38.909912109,18.310546875
,15.258789063,41.961669922,16.021728516,16.784667969,39.672851563,18.310546875
,16.021728516,42.724609375,16.021728516,17.547607422,40.435791016,19.073486328
,16.784667969,42.724609375,16.021728516,19.073486328,38.909912109,18.310546875
,16.784667969,42.724609375,16.021728516,19.073486328,38.909912109,18.310546875
,16.784667969,42.724609375,16.021728516,19.836425781,39.672851563,19.073486328
,16.784667969,42.724609375,16.021728516,19.836425781,40.435791016,20.599365234
,17.547607422,42.724609375,16.784667969,19.836425781,42.724609375,22.125244141
,17.547607422,42.724609375,16.784667969,19.836425781,43.487548828,23.651123047
,16.784667969,42.724609375,18.310546875,20.599365234,45.013427734,25.177001953
,16.021728516,41.198730469,19.073486328,21.362304688,46.539306641,25.939941406
,15.258789063,40.435791016,21.362304688,21.362304688,46.539306641,26.702880859
,14.495849609,38.146972656,22.125244141,21.362304688,46.539306641,25.939941406
,14.495849609,35.858154297,21.362304688,21.362304688,46.539306641,25.939941406
,14.495849609,34.332275391,19.836425781,22.125244141,45.013427734,25.939941406
,15.258789063,34.332275391,18.310546875,22.125244141,44.250488281,25.939941406
,16.021728516,33.569335938,16.784667969,23.651123047,41.961669922,26.702880859
,17.547607422,33.569335938,16.021728516,24.414062500,40.435791016,26.702880859
,18.310546875,33.569335938,16.021728516,25.939941406,38.909912109,26.702880859
,19.073486328,32.043457031,17.547607422,27.465820313,37.384033203,25.177001953
,19.836425781,31.280517578,19.073486328,28.228759766,36.621093750,23.651123047
,19.073486328,29.754638672,22.125244141,28.991699219,35.858154297,24.414062500
,19.073486328,27.465820313,22.888183594,28.991699219,35.095214844,25.177001953
,19.073486328,26.702880859,23.651123047,28.991699219,35.858154297,26.702880859
,19.073486328,25.939941406,23.651123047,28.991699219,35.858154297,27.465820313
,20.599365234,25.177001953,23.651123047,28.228759766,35.858154297,28.228759766
,21.362304688,24.414062500,23.651123047,28.991699219,36.621093750,28.228759766
,21.362304688,22.888183594,23.651123047,30.517578125,35.858154297,28.228759766
,21.362304688,21.362304688,24.414062500,29.754638672,35.095214844,28.991699219
,20.599365234,19.073486328,23.651123047,31.280517578,33.569335938,29.754638672
,19.836425781,17.547607422,23.651123047,30.517578125,32.043457031,30.517578125
,19.073486328,16.021728516,23.651123047,29.754638672,28.991699219,32.043457031
,19.836425781,15.258789063,22.888183594,29.754638672,25.939941406,33.569335938
,22.125244141,16.021728516,22.888183594,29.754638672,22.888183594,34.332275391
,24.414062500,16.021728516,22.888183594,30.517578125,19.836425781,35.858154297
,26.702880859,15.258789063,23.651123047,33.569335938,17.547607422,36.621093750
,27.465820313,13.732910156,24.414062500,35.858154297,16.784667969,36.621093750
,27.465820313,9.918212891,26.702880859,38.146972656,15.258789063,37.384033203
,27.465820313,6.103515625,28.991699219,41.198730469,14.495849609,38.146972656
,25.939941406,3.814697266,-253.295898438,41.198730469,-848.388671875,-74.768066406
,25.177001953,-1415.252685547,-2097.320556641,-1522.827148438,-3095.245361328,-1743.316650391
,24.414062500,-2761.077880859,-3799.438476563,-4653.167724609,-6681.060791016,-4978.179931641
,24.414062500,-4048.156738281,-5420.684814453,-7677.459716797,-10186.767578125,-8183.288574219
,25.177001953,-5290.985107422,-6391.906738281,-10549.926757813,-11891.174316406,-11029.815673828
,26.702880859,-3656.005859375,-4167.175292969,-10142.517089844,-10754.394531250,-10636.138916016
,27.465820313,-2127.075195313,-2151.489257813,-6458.282470703,-6867.980957031,-6986.236572266
,26.702880859,-676.727294922,-225.830078125,-2841.949462891,-3069.305419922,-3275.299072266
,25.939941406,716.400146484,1325.988769531,610.351562500,-217.437744141,179.290771484
,24.414062500,643.920898438,1233.673095703,2335.357666016,1168.060302734,1935.577392578
,24.414062500,598.144531250,1199.340820313,2335.357666016,1136.779785156,1988.220214844
,25.177001953,568.389892578,1167.297363281,2284.240722656,1107.025146484,1938.629150391
