Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"post  s2718tdvg"
Patient ID,
Test Date,10/15/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 51 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 300 탎","Tr 6 : 100 mA : 300 탎","Tr 7 : 100 mA : 300 탎","Tr 8 : 100 mA : 400 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 400 탎"
Sensitivity (킮/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640
Trace Data (킮),36.621093750,27.465820313,18.310546875,24.414062500,22.125244141,14.495849609,14.495849609,30.517578125,45.776367188,12.969970703
,35.095214844,25.177001953,22.125244141,23.651123047,24.414062500,11.444091797,14.495849609,28.991699219,45.013427734,13.732910156
,34.332275391,22.888183594,25.177001953,23.651123047,25.939941406,9.918212891,14.495849609,26.702880859,43.487548828,13.732910156
,34.332275391,20.599365234,28.228759766,22.888183594,28.228759766,9.155273438,15.258789063,22.888183594,40.435791016,13.732910156
,35.858154297,18.310546875,31.280517578,23.651123047,30.517578125,9.918212891,15.258789063,19.073486328,36.621093750,12.207031250
,38.146972656,16.784667969,32.806396484,23.651123047,31.280517578,11.444091797,15.258789063,16.021728516,35.095214844,12.207031250
,40.435791016,16.021728516,34.332275391,22.888183594,31.280517578,13.732910156,15.258789063,14.495849609,33.569335938,11.444091797
,41.198730469,16.021728516,34.332275391,22.125244141,32.043457031,16.784667969,15.258789063,14.495849609,32.806396484,10.681152344
