Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"pre  s2718tdvg"
Patient ID,
Test Date,8/20/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 45 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 100 탎","Tr 6 : 100 mA : 150 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 300 탎","Tr 10 : 100 mA : 300 탎","Tr 11 : 100 mA : 300 탎","Tr 12 : 100 mA : 300 탎","Tr 13 : 100 mA : 300 탎","Tr 14 : 100 mA : 350 탎","Tr 15 : 100 mA : 350 탎","Tr 16 : 100 mA : 350 탎"
Sensitivity (킮/Div),1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (킮),5.340576172,27.465820313,16.021728516,19.836425781,19.836425781,28.228759766,13.732910156,11.444091797,93.078613281,57.983398438,35.858154297,-28.991699219,28.228759766,0.000000000,34.332275391,221.252441406
,9.918212891,24.414062500,15.258789063,19.073486328,22.125244141,28.991699219,12.969970703,11.444091797,91.552734375,57.220458984,34.332275391,-28.991699219,22.888183594,0.000000000,35.858154297,219.726562500
,14.495849609,21.362304688,13.732910156,19.073486328,23.651123047,29.754638672,12.969970703,12.207031250,89.263916016,57.220458984,34.332275391,-29.754638672,15.258789063,0.000000000,37.384033203,219.726562500
,17.547607422,18.310546875,12.969970703,19.073486328,25.177001953,29.754638672,12.207031250,14.495849609,86.975097656,57.983398438,35.858154297,-32.043457031,6.103515625,0.000000000,38.146972656,218.963623047
,19.073486328,16.021728516,12.207031250,19.073486328,25.939941406,29.754638672,12.207031250,17.547607422,83.923339844,57.983398438,38.909912109,-33.569335938,2.288818359,0.762939453,36.621093750,218.963623047
,18.310546875,15.258789063,11.444091797,19.073486328,25.939941406,28.991699219,12.207031250,23.651123047,81.634521484,58.746337891,42.724609375,-35.858154297,1.525878906,3.051757813,34.332275391,219.726562500
,15.258789063,14.495849609,9.918212891,18.310546875,23.651123047,26.702880859,13.732910156,28.991699219,79.345703125,57.220458984,46.539306641,-36.621093750,3.814697266,5.340576172,31.280517578,222.015380859
,12.207031250,15.258789063,7.629394531,16.784667969,21.362304688,25.177001953,13.732910156,34.332275391,77.056884766,54.931640625,48.828125000,-38.146972656,9.155273438,6.866455078,28.228759766,225.067138672
,9.918212891,15.258789063,6.103515625,18.310546875,18.310546875,22.888183594,12.969970703,39.672851563,74.768066406,51.879882813,51.116943359,-38.909912109,12.969970703,7.629394531,26.702880859,228.118896484
,8.392333984,14.495849609,5.340576172,19.073486328,16.021728516,21.362304688,11.444091797,41.961669922,72.479248047,49.591064453,51.879882813,-39.672851563,16.021728516,7.629394531,25.177001953,231.170654297
,7.629394531,12.207031250,4.577636719,19.836425781,14.495849609,19.073486328,9.155273438,42.724609375,68.664550781,48.065185547,53.405761719,-40.435791016,17.547607422,6.866455078,24.414062500,234.222412109
,8.392333984,9.155273438,4.577636719,21.362304688,14.495849609,16.021728516,7.629394531,42.724609375,64.086914063,47.302246094,54.168701172,-39.672851563,17.547607422,6.866455078,23.651123047,236.511230469
,9.155273438,6.103515625,3.814697266,22.888183594,15.258789063,16.021728516,6.103515625,41.961669922,58.746337891,46.539306641,54.931640625,-37.384033203,16.784667969,8.392333984,22.888183594,238.800048828
,9.918212891,5.340576172,3.814697266,25.177001953,16.021728516,15.258789063,5.340576172,41.198730469,53.405761719,44.250488281,55.694580078,-35.095214844,15.258789063,9.918212891,22.125244141,241.088867188
,9.918212891,5.340576172,3.814697266,29.754638672,18.310546875,16.021728516,5.340576172,40.435791016,49.591064453,41.198730469,56.457519531,-31.280517578,13.732910156,12.207031250,20.599365234,242.614746094
,9.918212891,6.866455078,5.340576172,35.858154297,19.836425781,17.547607422,6.103515625,40.435791016,47.302246094,38.909912109,57.220458984,-28.228759766,12.969970703,14.495849609,19.073486328,244.140625000
,8.392333984,9.918212891,6.866455078,40.435791016,22.125244141,17.547607422,6.866455078,40.435791016,45.776367188,36.621093750,57.220458984,-26.702880859,11.444091797,16.784667969,18.310546875,244.140625000
,6.103515625,12.969970703,7.629394531,43.487548828,23.651123047,16.784667969,7.629394531,41.198730469,45.013427734,35.095214844,57.220458984,-25.939941406,11.444091797,19.836425781,17.547607422,242.614746094
,3.814697266,16.784667969,8.392333984,46.539306641,25.177001953,16.784667969,8.392333984,41.961669922,43.487548828,34.332275391,54.931640625,-25.177001953,11.444091797,22.125244141,18.310546875,239.562988281
,0.762939453,19.836425781,9.155273438,47.302246094,25.177001953,16.021728516,8.392333984,41.961669922,43.487548828,33.569335938,52.642822266,-25.177001953,9.918212891,25.939941406,19.073486328,235.748291016
,-1.525878906,22.125244141,9.918212891,47.302246094,25.177001953,16.784667969,7.629394531,41.961669922,44.250488281,33.569335938,49.591064453,-24.414062500,9.155273438,27.465820313,20.599365234,233.459472656
,-3.051757813,23.651123047,11.444091797,48.065185547,24.414062500,16.784667969,6.103515625,41.198730469,46.539306641,34.332275391,46.539306641,-22.888183594,6.866455078,28.228759766,22.888183594,231.170654297
,-4.577636719,22.888183594,11.444091797,48.065185547,23.651123047,17.547607422,5.340576172,38.909912109,51.116943359,34.332275391,44.250488281,-22.125244141,5.340576172,28.991699219,25.939941406,228.881835938
,-4.577636719,22.125244141,11.444091797,47.302246094,23.651123047,18.310546875,6.103515625,37.384033203,55.694580078,34.332275391,42.724609375,-21.362304688,6.103515625,28.991699219,28.991699219,226.593017578
,-3.814697266,21.362304688,10.681152344,47.302246094,23.651123047,18.310546875,7.629394531,35.858154297,61.798095703,33.569335938,41.961669922,-19.836425781,6.103515625,30.517578125,31.280517578,224.304199219
,-1.525878906,21.362304688,10.681152344,46.539306641,24.414062500,19.073486328,10.681152344,34.332275391,67.901611328,33.569335938,41.961669922,-18.310546875,6.866455078,31.280517578,32.806396484,220.489501953
,-0.762939453,22.125244141,11.444091797,45.013427734,24.414062500,20.599365234,14.495849609,34.332275391,74.005126953,34.332275391,41.961669922,-16.021728516,8.392333984,32.043457031,34.332275391,215.911865234
,0.000000000,23.651123047,12.207031250,44.250488281,25.177001953,21.362304688,19.073486328,35.095214844,78.582763672,34.332275391,41.961669922,-14.495849609,9.155273438,34.332275391,35.095214844,211.334228516
,0.762939453,26.702880859,15.258789063,43.487548828,24.414062500,23.651123047,24.414062500,36.621093750,83.160400391,33.569335938,41.961669922,-13.732910156,10.681152344,34.332275391,36.621093750,205.993652344
,1.525878906,28.991699219,19.073486328,43.487548828,23.651123047,25.939941406,28.228759766,36.621093750,85.449218750,31.280517578,41.198730469,-14.495849609,10.681152344,35.095214844,38.146972656,201.416015625
,2.288818359,32.043457031,22.888183594,44.250488281,22.888183594,27.465820313,31.280517578,35.095214844,86.975097656,27.465820313,41.961669922,-15.258789063,10.681152344,34.332275391,38.146972656,196.838378906
,3.814697266,32.806396484,28.228759766,44.250488281,20.599365234,30.517578125,32.806396484,33.569335938,86.975097656,23.651123047,41.961669922,-16.021728516,7.629394531,33.569335938,39.672851563,193.023681641
,6.103515625,32.806396484,32.043457031,45.013427734,18.310546875,32.043457031,32.806396484,30.517578125,86.975097656,20.599365234,42.724609375,-16.021728516,3.814697266,32.043457031,40.435791016,189.971923828
,7.629394531,32.043457031,34.332275391,45.013427734,15.258789063,33.569335938,32.043457031,27.465820313,87.738037109,18.310546875,43.487548828,-16.021728516,0.000000000,32.043457031,41.198730469,187.683105469
,9.155273438,29.754638672,35.095214844,45.013427734,12.207031250,36.621093750,29.754638672,25.177001953,86.212158203,16.021728516,44.250488281,-15.258789063,-3.814697266,33.569335938,42.724609375,187.683105469
,11.444091797,27.465820313,35.095214844,45.013427734,10.681152344,38.909912109,25.939941406,22.888183594,86.212158203,14.495849609,45.013427734,-13.732910156,-6.103515625,36.621093750,43.487548828,186.920166016
,14.495849609,23.651123047,34.332275391,43.487548828,10.681152344,41.198730469,23.651123047,20.599365234,84.686279297,12.969970703,44.250488281,-11.444091797,-4.577636719,41.198730469,43.487548828,186.157226563
,17.547607422,19.073486328,35.095214844,41.961669922,10.681152344,41.961669922,21.362304688,18.310546875,82.397460938,12.207031250,43.487548828,-9.918212891,-1.525878906,48.065185547,44.250488281,183.105468750
,19.836425781,15.258789063,35.858154297,40.435791016,12.207031250,41.198730469,21.362304688,13.732910156,81.634521484,9.918212891,40.435791016,-9.918212891,3.051757813,54.168701172,43.487548828,179.290771484
,20.599365234,10.681152344,38.146972656,36.621093750,13.732910156,39.672851563,22.888183594,8.392333984,80.108642578,8.392333984,35.858154297,-11.444091797,9.155273438,58.746337891,43.487548828,175.476074219
,19.073486328,6.866455078,41.961669922,35.095214844,15.258789063,36.621093750,24.414062500,2.288818359,78.582763672,6.866455078,30.517578125,-12.969970703,14.495849609,63.323974609,45.013427734,171.661376953
,18.310546875,3.051757813,46.539306641,32.806396484,16.021728516,34.332275391,25.939941406,-3.051757813,77.056884766,4.577636719,24.414062500,-15.258789063,19.073486328,65.612792969,48.065185547,167.846679688
,17.547607422,-1.525878906,50.354003906,30.517578125,16.021728516,33.569335938,26.702880859,-9.155273438,74.005126953,3.814697266,18.310546875,-16.021728516,22.888183594,67.138671875,52.642822266,164.794921875
,17.547607422,-7.629394531,52.642822266,28.991699219,15.258789063,32.806396484,26.702880859,-12.969970703,70.953369141,3.051757813,12.969970703,-15.258789063,25.177001953,68.664550781,57.983398438,161.743164063
,19.073486328,-13.732910156,54.931640625,28.228759766,16.021728516,34.332275391,27.465820313,-16.021728516,67.901611328,2.288818359,9.155273438,-14.495849609,26.702880859,70.190429688,62.561035156,157.928466797
,20.599365234,-19.836425781,56.457519531,28.228759766,16.784667969,35.858154297,29.754638672,-18.310546875,64.849853516,2.288818359,6.866455078,-12.969970703,26.702880859,71.716308594,66.375732422,154.113769531
,22.888183594,-24.414062500,58.746337891,28.991699219,19.836425781,38.146972656,33.569335938,-19.073486328,64.086914063,2.288818359,6.103515625,-12.207031250,26.702880859,72.479248047,68.664550781,149.536132813
,25.939941406,-25.177001953,61.798095703,28.228759766,22.888183594,41.961669922,38.909912109,-19.836425781,64.086914063,3.051757813,5.340576172,-10.681152344,26.702880859,73.242187500,70.953369141,145.721435547
,28.228759766,-24.414062500,64.086914063,25.177001953,25.939941406,45.776367188,44.250488281,-19.836425781,64.849853516,3.814697266,5.340576172,-9.155273438,25.939941406,71.716308594,72.479248047,141.906738281
,28.991699219,-20.599365234,64.849853516,21.362304688,29.754638672,51.116943359,48.828125000,-19.073486328,67.138671875,4.577636719,4.577636719,-8.392333984,25.939941406,70.953369141,74.005126953,138.854980469
,28.228759766,-15.258789063,64.086914063,16.021728516,32.043457031,56.457519531,52.642822266,-17.547607422,67.138671875,6.103515625,3.814697266,-6.103515625,24.414062500,69.427490234,76.293945313,136.566162109
,26.702880859,-9.918212891,62.561035156,11.444091797,33.569335938,60.272216797,55.694580078,-14.495849609,67.901611328,5.340576172,3.814697266,-3.814697266,23.651123047,67.138671875,78.582763672,135.040283203
