Test Name,M-max Lower Leg Ampl Lines
Test Item,Left Gastroc
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 34 mA : 200 탎","Tr 3 : 80 mA : 200 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 200 탎","Tr 6 : 100 mA : 200 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 200 탎","Tr 9 : 100 mA : 250 탎"
Sensitivity (킮/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640
Trace Data (킮),0.000000000,11.444091797,61.035156250,18.310546875,69.427490234,72.479248047,22.125244141,0.762939453,32.806396484
,0.000000000,12.207031250,61.798095703,12.969970703,69.427490234,68.664550781,25.177001953,0.000000000,31.280517578
,0.000000000,12.969970703,61.798095703,6.866455078,68.664550781,64.849853516,28.228759766,-2.288818359,25.939941406
,-0.762939453,15.258789063,61.798095703,2.288818359,67.138671875,61.798095703,31.280517578,-3.051757813,19.073486328
,-1.525878906,17.547607422,61.035156250,0.000000000,64.086914063,59.509277344,32.806396484,-3.814697266,9.918212891
,-1.525878906,20.599365234,59.509277344,0.762939453,59.509277344,58.746337891,31.280517578,-3.814697266,-0.762939453
,-0.762939453,24.414062500,59.509277344,3.051757813,54.168701172,57.983398438,28.991699219,-3.051757813,-9.155273438
,0.762939453,27.465820313,57.983398438,6.103515625,48.828125000,57.983398438,25.939941406,-0.762939453,-14.495849609
,2.288818359,30.517578125,57.983398438,9.155273438,43.487548828,57.220458984,22.888183594,0.000000000,-15.258789063
,3.814697266,34.332275391,57.983398438,11.444091797,38.146972656,56.457519531,19.836425781,3.051757813,-10.681152344
,5.340576172,38.146972656,58.746337891,12.207031250,33.569335938,54.168701172,17.547607422,4.577636719,-4.577636719
,6.103515625,41.198730469,58.746337891,14.495849609,28.991699219,51.116943359,14.495849609,6.103515625,0.762939453
,6.866455078,44.250488281,58.746337891,16.021728516,23.651123047,47.302246094,11.444091797,8.392333984,4.577636719
,9.155273438,48.065185547,56.457519531,17.547607422,18.310546875,42.724609375,7.629394531,9.918212891,6.103515625
,10.681152344,51.116943359,51.879882813,18.310546875,12.969970703,36.621093750,4.577636719,14.495849609,6.866455078
,13.732910156,54.168701172,47.302246094,16.784667969,6.103515625,31.280517578,2.288818359,17.547607422,6.866455078
,16.021728516,57.220458984,41.961669922,12.969970703,1.525878906,25.939941406,1.525878906,21.362304688,6.103515625
,18.310546875,60.272216797,35.095214844,9.918212891,-0.762939453,19.836425781,2.288818359,24.414062500,4.577636719
,20.599365234,61.798095703,28.991699219,6.866455078,-0.762939453,14.495849609,5.340576172,26.702880859,2.288818359
,22.888183594,61.798095703,22.888183594,4.577636719,0.762939453,7.629394531,9.155273438,30.517578125,0.000000000
,25.177001953,61.035156250,16.021728516,3.051757813,3.051757813,1.525878906,15.258789063,34.332275391,-0.762939453
,27.465820313,58.746337891,8.392333984,2.288818359,5.340576172,-0.762939453,19.836425781,38.909912109,-2.288818359
,28.991699219,57.220458984,2.288818359,2.288818359,6.103515625,-1.525878906,22.888183594,42.724609375,-0.762939453
,28.991699219,57.983398438,-3.051757813,3.814697266,7.629394531,-0.762939453,23.651123047,45.776367188,0.762939453
,27.465820313,57.983398438,-7.629394531,6.103515625,9.155273438,1.525878906,21.362304688,48.065185547,3.051757813
,25.939941406,59.509277344,-9.155273438,7.629394531,9.918212891,3.814697266,18.310546875,50.354003906,4.577636719
,23.651123047,60.272216797,-8.392333984,9.155273438,9.918212891,5.340576172,13.732910156,52.642822266,4.577636719
,22.125244141,59.509277344,-5.340576172,9.918212891,8.392333984,7.629394531,9.918212891,54.168701172,3.814697266
,20.599365234,58.746337891,-1.525878906,11.444091797,6.103515625,9.155273438,6.103515625,54.931640625,3.814697266
,17.547607422,57.983398438,0.762939453,13.732910156,4.577636719,9.918212891,3.051757813,54.168701172,3.814697266
,15.258789063,55.694580078,3.051757813,15.258789063,3.051757813,9.918212891,1.525878906,53.405761719,5.340576172
,12.969970703,53.405761719,3.051757813,17.547607422,2.288818359,9.918212891,0.000000000,52.642822266,7.629394531
,12.207031250,49.591064453,3.814697266,19.073486328,2.288818359,9.155273438,0.000000000,51.879882813,10.681152344
,12.969970703,45.013427734,2.288818359,19.836425781,2.288818359,9.155273438,2.288818359,52.642822266,15.258789063
,13.732910156,38.146972656,0.762939453,22.125244141,3.051757813,8.392333984,6.103515625,51.879882813,18.310546875
,14.495849609,31.280517578,0.000000000,24.414062500,3.814697266,6.866455078,9.155273438,51.116943359,21.362304688
,16.021728516,25.177001953,-1.525878906,28.228759766,3.814697266,6.103515625,11.444091797,51.116943359,22.888183594
,18.310546875,18.310546875,-2.288818359,32.043457031,4.577636719,4.577636719,12.969970703,50.354003906,22.888183594
,22.888183594,13.732910156,-2.288818359,34.332275391,4.577636719,3.814697266,15.258789063,48.828125000,22.888183594
,27.465820313,8.392333984,-3.051757813,35.095214844,5.340576172,3.051757813,19.073486328,46.539306641,23.651123047
,28.991699219,3.051757813,-2.288818359,34.332275391,7.629394531,2.288818359,22.888183594,42.724609375,24.414062500
,28.991699219,0.000000000,-2.288818359,32.806396484,8.392333984,2.288818359,27.465820313,38.146972656,27.465820313
,25.177001953,-1.525878906,-2.288818359,30.517578125,10.681152344,3.051757813,31.280517578,32.043457031,28.991699219
,19.073486328,-0.762939453,-1.525878906,28.228759766,12.969970703,3.814697266,34.332275391,25.939941406,29.754638672
,14.495849609,1.525878906,-0.762939453,25.177001953,15.258789063,6.103515625,37.384033203,19.836425781,29.754638672
,10.681152344,3.814697266,0.000000000,22.125244141,18.310546875,7.629394531,41.198730469,12.969970703,28.228759766
,7.629394531,5.340576172,2.288818359,18.310546875,20.599365234,9.918212891,45.013427734,8.392333984,26.702880859
,8.392333984,6.103515625,3.814697266,15.258789063,22.888183594,12.207031250,48.828125000,3.051757813,23.651123047
,8.392333984,6.103515625,4.577636719,12.969970703,25.177001953,13.732910156,51.116943359,-2.288818359,20.599365234
,9.155273438,6.103515625,6.866455078,11.444091797,26.702880859,15.258789063,53.405761719,-7.629394531,16.021728516
,10.681152344,6.103515625,7.629394531,12.207031250,28.991699219,16.021728516,54.931640625,-10.681152344,11.444091797
,12.207031250,4.577636719,9.918212891,12.207031250,30.517578125,17.547607422,55.694580078,-11.444091797,7.629394531
,15.258789063,3.814697266,12.207031250,12.969970703,30.517578125,19.073486328,57.220458984,-9.155273438,4.577636719
,17.547607422,2.288818359,14.495849609,15.258789063,29.754638672,21.362304688,57.983398438,-5.340576172,3.814697266
,19.836425781,3.051757813,16.784667969,18.310546875,28.228759766,23.651123047,57.983398438,-3.051757813,4.577636719
,21.362304688,3.814697266,19.836425781,22.888183594,25.939941406,24.414062500,59.509277344,-0.762939453,7.629394531
,21.362304688,4.577636719,22.125244141,27.465820313,24.414062500,24.414062500,60.272216797,0.000000000,11.444091797
,22.888183594,4.577636719,24.414062500,29.754638672,22.125244141,23.651123047,61.035156250,0.000000000,16.784667969
,25.939941406,3.814697266,26.702880859,29.754638672,19.836425781,22.888183594,61.035156250,0.000000000,22.125244141
,28.991699219,3.051757813,28.228759766,26.702880859,16.021728516,22.125244141,60.272216797,0.000000000,25.939941406
,33.569335938,3.051757813,29.754638672,22.125244141,12.969970703,22.125244141,59.509277344,0.000000000,26.702880859
,37.384033203,4.577636719,52.642822266,1578.521728516,1572.418212891,20.599365234,751.495361328,1562.500000000,24.414062500
,39.672851563,1567.840576172,1624.298095703,4512.786865234,4632.568359375,1580.810546875,3000.640869141,4624.176025391,1581.573486328
,43.487548828,4403.686523438,3063.201904297,7295.227050781,7564.544677734,3562.927246094,5094.909667969,7559.204101563,4701.232910156
,45.776367188,7143.402099609,4308.319091797,9860.992431641,10293.579101563,5376.434326172,7006.072998047,10289.001464844,7614.135742188
,48.828125000,9777.069091797,5286.407470703,9068.298339844,9679.412841797,6977.081298828,7319.641113281,9670.257568359,10277.557373047
,52.642822266,9181.213378906,2934.265136719,5282.592773438,5841.064453125,5227.661132813,4298.400878906,5824.279785156,9529.876708984
,54.931640625,5938.720703125,616.455078125,1566.314697266,2038.574218750,2404.022216797,1363.372802734,2003.479003906,5361.938476563
,57.983398438,2783.203125000,-1539.611816406,-1946.258544922,-1578.521728516,-309.753417969,-1424.407958984,-1631.927490234,1312.255859375
,58.746337891,-260.925292969,-3451.538085938,-3654.479980469,-3408.050537109,-2819.061279297,-3311.157226563,-3479.003906250,-2526.092529297
,58.746337891,-1628.875732422,-3569.793701172,-3729.248046875,-3501.892089844,-3529.357910156,-3410.339355469,-3583.526611328,-4515.075683594
,59.509277344,-1612.091064453,-3572.845458984,-3701.782226563,-3486.633300781,-3571.319580078,-3425.598144531,-3568.267822266,-4629.516601563
,58.746337891,-1578.521728516,-3524.017333984,-3636.932373047,-3436.279296875,-3533.935546875,-3388.977050781,-3514.099121094,-4632.568359375
,60.272216797,-1540.374755859,-3453.826904297,-3557.586669922,-3372.955322266,-3467.559814453,-3332.519531250,-3443.145751953,-4570.770263672
,61.798095703,-1500.701904297,-3375.244140625,-3473.663330078,-3302.764892578,-3392.028808594,-3267.669677734,-3367.614746094,-4483.032226563
,62.561035156,-1461.029052734,-3294.372558594,-3388.977050781,-3227.996826172,-3314.208984375,-3199.005126953,-3289.794921875,-4385.375976563
,64.849853516,-1421.356201172,-3212.738037109,-3304.290771484,-3151.702880859,-3237.152099609,-3125.762939453,-3210.449218750,-4281.616210938
,64.086914063,-1383.209228516,-3133.392333984,-3222.656250000,-3072.357177734,-3160.858154297,-3049.468994141,-3131.103515625,-4176.330566406
,61.798095703,-1346.588134766,-3058.624267578,-3141.784667969,-2991.485595703,-3085.327148438,-2971.649169922,-3051.757812500,-4070.281982422
,61.035156250,-1310.729980469,-2986.907958984,-3059.387207031,-2909.088134766,-3009.033203125,-2896.118164063,-2973.937988281,-3964.233398438
,58.746337891,-1277.160644531,-2919.006347656,-2974.700927734,-2824.401855469,-2931.976318359,-2828.216552734,-2902.221679688,-3861.236572266
