Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 150 µs","Tr 2 : 25 mA : 150 µs","Tr 3 : 60 mA : 150 µs","Tr 4 : 80 mA : 150 µs","Tr 5 : 83 mA : 150 µs","Tr 6 : 83 mA : 150 µs"
Sensitivity (µV/Div),1000.00,1000.00,1000.00,1000.00,1000.00,1000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640
Trace Data (µV),22.125244141,16.021728516,35.095214844,65.612792969,30.517578125,20.599365234
,22.125244141,16.784667969,33.569335938,64.086914063,28.228759766,19.073486328
,22.125244141,16.021728516,31.280517578,62.561035156,25.939941406,19.073486328
,22.888183594,12.969970703,30.517578125,61.798095703,23.651123047,18.310546875
,24.414062500,9.918212891,28.228759766,60.272216797,20.599365234,17.547607422
,25.177001953,6.103515625,26.702880859,59.509277344,17.547607422,16.021728516
,27.465820313,2.288818359,25.177001953,57.220458984,15.258789063,14.495849609
,28.991699219,-0.762939453,23.651123047,54.931640625,12.969970703,12.207031250
,28.991699219,-5.340576172,23.651123047,53.405761719,11.444091797,10.681152344
,29.754638672,-9.918212891,23.651123047,52.642822266,11.444091797,9.918212891
,29.754638672,-13.732910156,22.125244141,53.405761719,10.681152344,9.155273438
,30.517578125,-18.310546875,22.125244141,54.931640625,9.918212891,8.392333984
,32.043457031,-22.125244141,20.599365234,56.457519531,9.918212891,8.392333984
,32.806396484,-25.177001953,19.073486328,56.457519531,8.392333984,7.629394531
,34.332275391,-26.702880859,19.073486328,55.694580078,6.103515625,6.866455078
,37.384033203,-27.465820313,19.073486328,53.405761719,6.103515625,5.340576172
,40.435791016,-27.465820313,19.073486328,49.591064453,5.340576172,4.577636719
,44.250488281,-26.702880859,19.073486328,45.776367188,5.340576172,3.051757813
,48.065185547,-25.939941406,19.073486328,42.724609375,6.866455078,3.051757813
,52.642822266,-26.702880859,18.310546875,39.672851563,5.340576172,2.288818359
,55.694580078,-26.702880859,16.021728516,37.384033203,4.577636719,2.288818359
,58.746337891,-27.465820313,14.495849609,36.621093750,3.814697266,3.814697266
,60.272216797,-26.702880859,12.969970703,36.621093750,2.288818359,4.577636719
,61.035156250,-25.177001953,11.444091797,35.858154297,2.288818359,5.340576172
,62.561035156,-25.177001953,12.207031250,35.858154297,1.525878906,6.866455078
,64.849853516,-23.651123047,12.207031250,35.095214844,1.525878906,6.866455078
,67.138671875,-23.651123047,12.207031250,33.569335938,1.525878906,8.392333984
