Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 19 mA : 100 탎","Tr 3 : 19 mA : 100 탎","Tr 4 : 19 mA : 100 탎","Tr 5 : 19 mA : 100 탎","Tr 6 : 94 mA : 100 탎","Tr 7 : 94 mA : 100 탎","Tr 8 : 100 mA : 100 탎","Tr 9 : 100 mA : 150 탎","Tr 10 : 100 mA : 200 탎","Tr 11 : 100 mA : 200 탎"
Sensitivity (킮/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640,640
Trace Data (킮),51.116943359,36.621093750,5.340576172,47.302246094,43.487548828,55.694580078,51.116943359,-1.525878906,-14.495849609,50.354003906,10.681152344
,51.116943359,35.858154297,6.103515625,47.302246094,43.487548828,54.168701172,51.116943359,0.000000000,-10.681152344,49.591064453,11.444091797
,50.354003906,35.095214844,6.866455078,45.776367188,43.487548828,53.405761719,51.116943359,3.051757813,-8.392333984,48.828125000,12.207031250
,48.828125000,35.858154297,8.392333984,45.013427734,44.250488281,52.642822266,51.116943359,4.577636719,-7.629394531,48.065185547,13.732910156
,47.302246094,35.858154297,9.918212891,43.487548828,44.250488281,52.642822266,51.116943359,5.340576172,-6.866455078,46.539306641,12.969970703
,45.013427734,36.621093750,12.207031250,41.198730469,45.013427734,53.405761719,49.591064453,6.866455078,-6.866455078,43.487548828,12.969970703
,44.250488281,37.384033203,13.732910156,38.909912109,44.250488281,53.405761719,48.065185547,7.629394531,-5.340576172,41.198730469,12.207031250
,43.487548828,37.384033203,15.258789063,36.621093750,41.961669922,53.405761719,46.539306641,9.918212891,-3.814697266,38.909912109,10.681152344
,42.724609375,36.621093750,18.310546875,34.332275391,40.435791016,53.405761719,44.250488281,10.681152344,-0.762939453,36.621093750,10.681152344
,42.724609375,35.858154297,19.836425781,32.043457031,38.146972656,53.405761719,41.961669922,12.207031250,0.762939453,36.621093750,9.918212891
,42.724609375,35.095214844,21.362304688,29.754638672,36.621093750,53.405761719,39.672851563,14.495849609,2.288818359,35.858154297,8.392333984
,41.961669922,35.095214844,22.125244141,28.228759766,35.858154297,52.642822266,35.858154297,16.784667969,3.814697266,34.332275391,7.629394531
