Test Name,H-Reflex Inc-Dec
Test Item,Left Decreasing -> H-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 85 mA","Tr 2 : 31 mA","Tr 3 : 30 mA","Tr 4 : 32 mA","Tr 5 : 33 mA","Tr 6 : 34 mA","Tr 7 : 35 mA","Tr 8 : 36 mA","Tr 9 : 37 mA","Tr 10 : 38 mA","Tr 11 : 39 mA","Tr 12 : 40 mA","Tr 13 : 41 mA","Tr 14 : 43 mA","Tr 15 : 45 mA","Tr 16 : 47 mA","Tr 17 : 50 mA","Tr 18 : 52 mA","Tr 19 : 49 mA","Tr 20 : 49 mA","Tr 21 : 48 mA","Tr 22 : 39 mA","Tr 23 : 36 mA","Tr 24 : 32 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),4843.139648438,10898.590087891,8957.672119141,11180.877685547,4489.898681641,11537.170410156,9938.812255859,12113.952636719,18244.934082031,14629.364013672,13332.366943359,13340.759277344,19927.215576172,15910.339355469,6571.960449219,15097.808837891,7872.009277344,7789.611816406,8933.258056641,10772.705078125,7998.657226563,5841.064453125,12931.823730469,7580.566406250
,9564.208984375,16539.001464844,14949.798583984,16708.374023438,9043.121337891,16921.997070313,15835.571289063,17257.690429688,20941.162109375,18772.125244141,17991.638183594,17996.215820313,21952.819824219,19536.590576172,11854.553222656,19053.649902344,13610.839843750,13476.562500000,14802.551269531,16435.241699219,13729.858398438,10919.952392578,17753.601074219,13215.637207031
,15667.724609375,20768.737792969,19763.946533203,20853.424072266,15114.593505859,20960.235595703,20359.039306641,21113.586425781,22962.188720703,21878.051757813,21484.375000000,21487.426757813,23471.832275391,22254.943847656,17470.550537109,22019.958496094,18797.302246094,18691.253662109,19647.216796875,20690.917968750,18878.173828125,16779.327392578,21369.171142578,18498.229980469
,20305.633544922,23587.799072266,23051.452636719,23616.790771484,19901.275634766,23651.885986328,23394.012451172,23693.847656250,24150.848388672,23953.247070313,23818.969726563,23821.258544922,24207.305908203,24042.510986328,21527.862548828,24001.312255859,22422.027587891,22348.022460938,22961.425781250,23542.785644531,22472.381591797,21074.676513672,23783.874511719,22220.611572266
,23399.353027344,24522.399902344,24018.096923828,24476.623535156,23149.871826172,24327.087402344,24679.565429688,23797.607421875,22631.835937500,23540.496826172,24058.532714844,24123.382568359,22309.875488281,23326.110839844,24023.437500000,23667.144775391,24261.474609375,24300.384521484,24687.194824219,24056.243896484,24501.800537109,23813.629150391,24158.477783203,24188.232421875
,24509.429931641,22068.023681641,21386.718750000,21948.242187500,24010.467529297,21610.260009766,22480.773925781,20585.632324219,18381.500244141,20066.070556641,21045.684814453,21152.496337891,17831.420898438,19602.203369141,23550.415039063,20271.301269531,22502.899169922,22760.772705078,23054.504394531,21055.603027344,23346.710205078,24143.218994141,21270.751953125,22534.179687500
,22287.750244141,17697.906494141,16647.338867188,17473.602294922,21258.544921875,16909.790039063,18230.438232422,15354.156494141,12054.443359375,14531.707763672,15985.870361328,16110.229492188,11236.572265625,13774.108886719,20024.871826172,14756.774902344,18174.743652344,18615.722656250,19110.107421875,15966.033935547,19691.467285156,21224.975585938,16369.628906250,18280.792236328
,18075.561523438,11388.397216797,9948.730468750,11026.000976563,16400.146484375,10194.396972656,11945.343017578,8065.032958984,3945.922851563,6902.313232422,8838.653564453,8949.279785156,3048.706054688,5862.426757813,14391.326904297,7067.108154297,11716.461181641,12348.175048828,13029.479980469,8718.109130859,13935.089111328,16263.580322266,9410.095214844,12006.378173828
,11785.125732422,4075.622558594,2838.134765625,3634.643554688,9532.928466797,2790.069580078,4126.739501953,1083.374023438,-2216.339111328,62.561035156,1439.666748047,1378.631591797,-3055.572509766,-1027.679443359,6626.129150391,-172.424316406,3537.750244141,4208.374023438,4883.575439453,1123.046875000,6043.243408203,9212.493896484,2037.811279297,4078.674316406
,4190.063476563,-1239.776611328,-2138.519287109,-1736.450195313,2307.128906250,-2563.476562500,-1766.967773438,-3920.745849609,-6398.010253906,-4849.243164063,-3907.775878906,-4129.028320313,-7195.281982422,-5905.151367188,-495.910644531,-5490.112304688,-2771.759033203,-2265.930175781,-1811.981201172,-4493.713378906,-779.724121094,1737.976074219,-3317.260742188,-1789.093017578
,-1882.934570313,-4690.551757813,-5242.919921875,-5215.454101563,-2793.121337891,-5995.178222656,-5747.222900391,-6970.977783203,-8561.706542969,-7771.301269531,-7290.649414063,-7656.860351563,-9287.261962891,-8765.411376953,-5603.790283203,-8801.269531250,-7173.919677734,-6835.174560547,-6613.159179688,-8166.503906250,-5788.421630859,-3715.515136719,-6748.962402344,-5741.119384766
,-6300.354003906,-6226.348876953,-6421.661376953,-6748.199462891,-5984.497070313,-7442.474365234,-7735.443115234,-8003.997802734,-8816.528320313,-8636.474609375,-8634.948730469,-9122.467041016,-9548.950195313,-9564.971923828,-8701.324462891,-10002.136230469,-9546.661376953,-9390.258789063,-9371.948242188,-9768.676757813,-8819.580078125,-7224.273681641,-8178.710937500,-7728.576660156
,-8824.157714844,-6294.250488281,-6423.950195313,-6824.493408203,-7208.251953125,-7542.419433594,-7949.066162109,-8171.081542969,-8994.293212891,-8856.201171875,-8819.580078125,-9337.615966797,-9780.120849609,-9812.927246094,-9716.033935547,-10356.903076172,-10030.364990234,-9987.640380859,-10059.356689453,-10144.805908203,-9775.543212891,-8702.850341797,-8387.756347656,-7901.763916016
,-9731.292724609,-6379.699707031,-6507.873535156,-6913.757324219,-7259.368896484,-7646.942138672,-8096.313476563,-8285.522460938,-9095.001220703,-8978.271484375,-8971.405029297,-9512.329101563,-9902.954101563,-9979.248046875,-9986.877441406,-10571.289062500,-10374.450683594,-10346.221923828,-10392.761230469,-10421.752929688,-10208.892822266,-8939.361572266,-8566.284179688,-8084.869384766
,-10361.480712891,-6407.165527344,-6533.050537109,-6941.223144531,-7361.602783203,-7682.037353516,-8157.348632813,-8325.958251953,-9123.992919922,-9020.996093750,-9033.966064453,-9590.911865234,-9942.626953125,-10050.201416016,-10175.323486328,-10667.419433594,-10569.000244141,-10557.556152344,-10567.474365234,-10559.082031250,-10456.848144531,-9130.096435547,-8652.496337891,-8189.392089844
,-10738.372802734,-6397.247314453,-6521.606445313,-6928.253173828,-7397.460937500,-7670.593261719,-8163.452148438,-8316.802978516,-9103.393554688,-9011.840820313,-9035.491943359,-9602.355957031,-9925.079345703,-10054.779052734,-10259.246826172,-10685.729980469,-10655.975341797,-10656.738281250,-10641.479492188,-10605.621337891,-10580.444335938,-9219.360351563,-8674.621582031,-8229.064941406
,-10950.469970703,-6361.389160156,-6482.696533203,-6887.054443359,-7390.594482422,-7627.105712891,-8132.934570313,-8272.552490234,-9048.461914063,-8966.064453125,-8996.582031250,-9569.549560547,-9869.384765625,-10015.106201172,-10271.453857422,-10650.634765625,-10668.945312500,-10679.626464844,-10647.583007813,-10590.362548828,-10619.354248047,-9239.959716797,-8652.496337891,-8219.146728516
,-11050.415039063,-6307.220458984,-6425.476074219,-6826.782226563,-7353.973388672,-7562.255859375,-8075.714111328,-8205.413818359,-8971.405029297,-8895.874023438,-8930.206298828,-9506.225585938,-9788.513183594,-9944.915771484,-10235.595703125,-10580.444335938,-10632.324218750,-10649.871826172,-10607.910156250,-10534.667968750,-10601.806640625,-9214.782714844,-8601.379394531,-8178.710937500
,-11075.592041016,-6241.607666016,-6358.337402344,-6753.540039063,-7296.752929688,-7483.673095703,-8002.471923828,-8122.253417969,-8879.089355469,-8809.661865234,-8845.520019531,-9422.302246094,-9690.856933594,-9856.414794922,-10165.405273438,-10486.602783203,-10562.133789063,-10586.547851563,-10535.430908203,-10450.744628906,-10545.349121094,-9157.562255859,-8530.426025391,-8114.624023438
,-11051.177978516,-6168.365478516,-6282.806396484,-6672.668457031,-7226.562500000,-7395.935058594,-7917.785644531,-8029.174804688,-8776.855468750,-8711.242675781,-8749.389648438,-9325.408935547,-9580.993652344,-9754.180908203,-10072.326660156,-10378.265380859,-10472.106933594,-10498.809814453,-10443.115234375,-10348.510742188,-10462.951660156,-9078.979492188,-8448.028564453,-8035.278320313
,-10993.957519531,-6091.308593750,-6202.697753906,-6589.508056641,-7147.216796875,-7304.382324219,-7826.232910156,-7930.755615234,-8666.992187500,-8606.719970703,-8646.392822266,-9220.123291016,-9463.500976563,-9644.317626953,-9963.989257813,-10259.246826172,-10367.584228516,-10395.812988281,-10336.303710938,-10233.306884766,-10363.006591797,-8986.663818359,-8357.238769531,-7946.014404297
,-10914.611816406,-6011.199951172,-6120.300292969,-6502.532958984,-7061.004638672,-7208.251953125,-7729.339599609,-7829.284667969,-8553.314208984,-8497.619628906,-8537.292480469,-9107.971191406,-9341.430664063,-9528.350830078,-9847.259521484,-10134.887695313,-10254.669189453,-10282.897949219,-10221.862792969,-10109.710693359,-10252.380371094,-8885.192871094,-8261.871337891,-7849.884033203
,-10821.533203125,-5929.565429688,-6035.614013672,-6414.794921875,-6971.740722656,-7110.595703125,-7630.157470703,-7726.287841797,-8438.873291016,-8386.993408203,-8425.903320313,-8991.241455078,-9217.071533203,-9408.569335938,-9725.952148438,-10006.713867188,-10135.650634766,-10163.116455078,-10102.081298828,-9980.010986328,-10134.887695313,-8777.618408203,-8160.400390625,-7749.176025391
,-10719.299316406,-5847.930908203,-5952.453613281,-6324.768066406,-6879.425048828,-7012.176513672,-7529.449462891,-7623.291015625,-8323.669433594,-8276.367187500,-8312.225341797,-8872.222900391,-9093.475341797,-9288.024902344,-9603.118896484,-9877.014160156,-10012.817382813,-10038.757324219,-9978.485107422,-9848.785400391,-10015.106201172,-8668.518066406,-8055.877685547,-7646.942138672
,-10611.724853516,-5766.296386719,-5868.530273438,-6231.689453125,-6785.583496094,-6912.231445313,-7427.215576172,-7518.768310547,-8209.991455078,-8165.740966797,-8197.021484375,-8752.441406250,-8969.879150391,-9168.243408203,-9479.522705078,-9747.314453125,-9887.695312500,-9914.398193359,-9853.363037109,-9716.796875000,-9890.747070313,-8557.891845703,-7950.592041016,-7543.945312500
,-10502.624511719,-5686.187744141,-5786.895751953,-6140.899658203,-6692.504882813,-6812.286376953,-7326.507568359,-7415.771484375,-8097.076416016,-8055.877685547,-8082.580566406,-8632.659912109,-8847.808837891,-9049.987792969,-9357.452392578,-9618.377685547,-9762.573242188,-9790.039062500,-9727.478027344,-9587.097167969,-9765.625000000,-8445.739746094,-7846.069335938,-7440.948486328
,-10394.287109375,-5606.842041016,-5706.024169922,-6051.635742188,-6599.426269531,-6715.393066406,-7225.799560547,-7313.537597656,-7984.924316406,-7947.540283203,-7968.139648438,-8515.930175781,-8727.264404297,-8935.546875000,-9236.145019531,-9491.729736328,-9638.214111328,-9668.731689453,-9603.881835938,-9459.686279297,-9640.502929688,-8333.587646484,-7743.072509766,-7341.003417969
,-10288.238525391,-5529.785156250,-5626.678466797,-5965.423583984,-6507.873535156,-6620.025634766,-7126.617431641,-7212.829589844,-7873.535156250,-7839.202880859,-7854.461669922,-8400.726318359,-8606.719970703,-8822.631835938,-9116.363525391,-9365.844726563,-9516.143798828,-9549.713134766,-9481.811523438,-9334.564208984,-9514.617919922,-8222.961425781,-7642.364501953,-7242.584228516
,-10183.715820313,-5453.491210938,-5548.858642578,-5882.263183594,-6417.846679688,-6528.472900391,-7030.487060547,-7115.173339844,-7763.671875000,-7733.154296875,-7742.309570313,-8287.048339844,-8487.701416016,-8710.479736328,-8997.344970703,-9243.774414063,-9395.599365234,-9432.983398438,-9361.267089844,-9212.493896484,-9389.495849609,-8112.335205078,-7543.182373047,-7145.690917969
,-10079.956054688,-5378.723144531,-5471.801757813,-5800.628662109,-6327.819824219,-6437.683105469,-6935.882568359,-7018.280029297,-7656.097412109,-7629.394531250,-7631.683349609,-8174.896240234,-8370.208740234,-8599.090576172,-8880.615234375,-9126.281738281,-9277.343750000,-9317.016601563,-9242.248535156,-9091.949462891,-9266.662597656,-8002.471923828,-7444.763183594,-7049.560546875
,-9975.433349609,-5306.243896484,-5396.270751953,-5718.994140625,-6238.555908203,-6348.419189453,-6843.566894531,-6922.912597656,-7551.574707031,-7524.871826172,-7522.583007813,-8065.032958984,-8254.241943359,-8489.227294922,-8766.174316406,-9011.077880859,-9160.614013672,-9202.575683594,-9123.992919922,-8973.693847656,-9145.355224609,-7893.371582031,-7346.343994141,-6954.193115234
,-9870.147705078,-5234.527587891,-5320.739746094,-5638.885498047,-6150.817871094,-6259.155273438,-6752.014160156,-6828.308105469,-7447.814941406,-7421.875000000,-7415.008544922,-7956.695556641,-8141.326904297,-8381.652832031,-8652.496337891,-8898.925781250,-9045.410156250,-9089.660644531,-9006.500244141,-8857.727050781,-9024.810791016,-7784.271240234,-7249.450683594,-6858.062744141
,-9766.387939453,-5163.574218750,-5244.445800781,-5557.250976563,-6062.316894531,-6172.943115234,-6660.461425781,-6735.229492188,-7345.581054688,-7319.641113281,-7308.959960938,-7852.172851563,-8032.226562500,-8275.604248047,-8541.870117188,-8788.299560547,-8933.258056641,-8979.034423828,-8891.296386719,-8744.049072266,-8907.318115234,-7677.459716797,-7152.557373047,-6764.221191406
,-9663.391113281,-5093.383789063,-5168.914794922,-5477.905273438,-5975.341796875,-6088.256835938,-6571.960449219,-6644.439697266,-7245.635986328,-7218.933105469,-7205.200195313,-7748.413085938,-7925.415039063,-8171.844482422,-8433.532714844,-8679.199218750,-8823.394775391,-8871.459960938,-8779.144287109,-8633.422851563,-8790.588378906,-7572.937011719,-7057.189941406,-6672.668457031
,-9561.920166016,-5020.904541016,-5091.857910156,-5401.611328125,-5890.655517578,-6007.385253906,-6484.985351563,-6555.175781250,-7145.690917969,-7121.276855469,-7102.966308594,-7645.416259766,-7820.892333984,-8068.084716797,-8328.247070313,-8573.150634766,-8715.820312500,-8765.411376953,-8670.806884766,-8523.559570313,-8673.858642578,-7469.940185547,-6963.348388672,-6583.404541016
,-9463.500976563,-4950.714111328,-5016.326904297,-5328.369140625,-5807.495117188,-5928.802490234,-6399.536132813,-6467.437744141,-7049.560546875,-7025.909423828,-7005.310058594,-7545.471191406,-7719.421386719,-7968.139648438,-8226.013183594,-8470.153808594,-8610.534667969,-8662.414550781,-8565.521240234,-8416.748046875,-8559.417724609,-7369.232177734,-6870.269775391,-6497.192382813
,-9367.370605469,-4880.523681641,-4940.795898438,-5258.178710938,-5725.860595703,-5850.982666016,-6316.375732422,-6381.225585938,-6954.956054688,-6932.830810547,-6910.705566406,-7447.052001953,-7621.002197266,-7872.772216797,-8126.068115234,-8370.971679688,-8506.774902344,-8560.180664063,-8462.524414063,-8312.225341797,-8447.265625000,-7270.050048828,-6778.717041016,-6411.743164063
,-9275.817871094,-4814.147949219,-4866.790771484,-5188.751220703,-5646.514892578,-5776.977539063,-6235.504150391,-6294.250488281,-6863.403320313,-6840.515136719,-6818.389892578,-7350.921630859,-7524.871826172,-7781.219482422,-8027.648925781,-8274.078369141,-8405.303955078,-8460.235595703,-8360.290527344,-8212.280273438,-8338.928222656,-7173.156738281,-6689.453125000,-6326.293945313
,-9191.131591797,-4750.823974609,-4794.311523438,-5120.849609375,-5569.458007813,-5703.735351563,-6157.684326172,-6211.090087891,-6777.191162109,-6751.251220703,-6729.888916016,-7258.605957031,-7433.319091797,-7695.007324219,-7930.755615234,-8180.999755859,-8306.121826172,-8361.816406250,-8259.582519531,-8116.912841797,-8235.168457031,-7079.315185547,-6603.240966797,-6240.844726563
,-9113.311767578,-4689.025878906,-4722.595214844,-5054.473876953,-5494.689941406,-5635.070800781,-6082.916259766,-6132.507324219,-6692.504882813,-6664.276123047,-6642.913818359,-7169.342041016,-7346.343994141,-7611.846923828,-7833.099365234,-8089.447021484,-8210.754394531,-8267.211914063,-8161.163330078,-8024.597167969,-8133.697509766,-6988.525390625,-6519.317626953,-6156.158447266
,-9045.410156250,-4628.753662109,-4651.641845703,-4990.386962891,-5422.973632813,-5569.458007813,-6011.199951172,-6058.502197266,-6611.633300781,-6581.115722656,-6558.990478516,-7083.129882813,-7260.894775391,-7531.738281250,-7737.731933594,-8000.183105469,-8118.438720703,-8176.422119141,-8065.032958984,-7938.385009766,-8032.989501953,-6900.787353516,-6436.920166016,-6072.235107422
,-8985.900878906,-4567.718505859,-4582.214355469,-4929.351806641,-5355.072021484,-5506.134033203,-5943.298339844,-5989.837646484,-6533.050537109,-6503.295898438,-6480.407714844,-6999.969482422,-7180.023193359,-7454.681396484,-7646.179199219,-7916.259765625,-8032.226562500,-8090.972900391,-7973.480224609,-7855.224609375,-7934.570312500,-6815.338134766,-6356.811523438,-5989.074707031
,-8937.835693359,-4507.446289063,-4515.075683594,-4870.605468750,-5289.459228516,-5445.861816406,-5879.211425781,-5924.224853516,-6457.519531250,-6429.290771484,-6404.876708984,-6920.623779297,-7104.492187500,-7381.439208984,-7559.204101563,-7836.914062500,-7952.117919922,-8011.627197266,-7887.268066406,-7777.404785156,-7838.439941406,-6731.414794922,-6275.939941406,-5908.203125000
