Test Name,H-Reflex Inc-Dec
Test Item,Left M-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 32 mA","Tr 2 : 55 mA","Tr 3 : 55 mA","Tr 4 : 63 mA","Tr 5 : 63 mA","Tr 6 : 63 mA","Tr 7 : 63 mA","Tr 8 : 73 mA","Tr 9 : 81 mA","Tr 10 : 81 mA","Tr 11 : 91 mA","Tr 12 : 91 mA","Tr 13 : 95 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),9047.241210938,3730.468750000,3416.442871094,9873.657226563,3683.776855469,9770.202636719,8302.307128906,4638.671875000,5235.595703125,2980.346679688,9470.214843750,3418.884277344,9561.157226563
,7267.150878906,5616.455078125,5063.476562500,8656.921386719,5175.781250000,8430.786132813,7896.728515625,5778.503417969,6192.016601563,5195.922851563,8771.057128906,5405.883789063,8845.520019531
,4654.541015625,5939.636230469,5043.334960938,6266.174316406,4902.343750000,5892.639160156,6140.441894531,5251.159667969,5561.523437500,6372.985839844,6918.029785156,5774.841308594,6982.727050781
,1207.580566406,4657.287597656,3316.345214844,2673.645019531,2798.767089844,2125.244140625,2996.520996094,2994.384765625,3273.315429688,5815.429687500,3833.923339844,4386.596679688,3886.108398438
,-1167.602539063,1755.065917969,-125.122070313,-1873.474121094,-1154.479980469,-2418.212890625,-1529.846191406,-1012.268066406,-697.631835938,3460.083007813,-507.507324219,1188.049316406,-476.379394531
,-2716.674804688,-1524.658203125,-3328.857421875,-5441.284179688,-4900.817871094,-5972.290039063,-5301.513671875,-4770.812988281,-4462.890625000,-711.059570313,-4301.757812500,-2574.157714844,-4333.190917969
,-3424.987792969,-3923.645019531,-5548.400878906,-7853.393554688,-7586.364746094,-8349.914550781,-7926.940917969,-7471.313476563,-7212.829589844,-4446.716308594,-7108.154296875,-5573.730468750,-7212.219238281
,-3285.217285156,-5349.731445313,-6710.815429688,-9043.273925781,-9079.284667969,-9478.759765625,-9320.983886719,-8984.375000000,-8799.743652344,-7155.151367188,-8764.953613281,-7545.166015625,-8933.410644531
,-3248.596191406,-5766.601562500,-6791.076660156,-9114.685058594,-9327.392578125,-9563.293457031,-9459.533691406,-9258.422851563,-9162.902832031,-8702.392578125,-9204.711914063,-8376.159667969,-9420.776367188
,-3193.969726563,-5785.522460938,-6758.422851563,-9029.235839844,-9343.261718750,-9479.980468750,-9402.770996094,-9277.954101563,-9227.294921875,-9035.034179688,-9307.250976563,-8652.343750000,-9536.132812500
,-3129.577636719,-5719.604492188,-6658.935546875,-8876.037597656,-9235.534667969,-9323.120117188,-9261.169433594,-9176.635742188,-9153.747558594,-9085.083007813,-9258.728027344,-8695.678710938,-9485.168457031
,-3060.913085938,-5617.370605469,-6529.235839844,-8692.932128906,-9071.350097656,-9133.605957031,-9081.420898438,-9020.080566406,-9015.502929688,-9008.789062500,-9140.625000000,-8632.202148438,-9357.299804688
,-2991.333007813,-5500.183105469,-6385.498046875,-8497.619628906,-8881.530761719,-8929.748535156,-8885.192871094,-8840.026855469,-8848.266601563,-8874.511718750,-8991.394042969,-8519.287109375,-9195.251464844
,-2920.532226563,-5377.502441406,-6235.961914063,-8298.950195313,-8681.030273438,-8722.229003906,-8684.082031250,-8650.817871094,-8668.823242188,-8713.684082031,-8830.261230469,-8384.399414063,-9020.080566406
,-2849.121093750,-5252.990722656,-6085.205078125,-8101.196289063,-8478.088378906,-8516.540527344,-8484.497070313,-8460.388183594,-8487.854003906,-8541.870117188,-8666.381835938,-8243.713378906,-8843.383789063
,-2777.709960938,-5128.479003906,-5934.448242188,-7905.883789063,-8276.977539063,-8314.819335938,-8289.794921875,-8273.620605469,-8310.241699219,-8367.614746094,-8503.112792969,-8103.027343750,-8669.738769531
,-2706.604003906,-5005.187988281,-5786.132812500,-7713.317871094,-8079.528808594,-8119.201660156,-8100.891113281,-8091.125488281,-8137.512207031,-8194.885253906,-8341.979980469,-7965.393066406,-8501.586914063
,-2636.413574219,-4883.422851563,-5639.953613281,-7521.667480469,-7887.573242188,-7930.908203125,-7918.090820313,-7915.344238281,-7971.496582031,-8026.428222656,-8185.424804688,-7832.031250000,-8339.843750000
,-2567.749023438,-4763.793945313,-5496.520996094,-7333.068847656,-7702.026367188,-7752.075195313,-7743.530273438,-7749.023437500,-7814.941406250,-7864.990234375,-8037.719726563,-7704.772949219,-8187.866210938
,-2500.000000000,-4646.911621094,-5356.750488281,-7149.963378906,-7526.245117188,-7585.449218750,-7579.956054688,-7595.520019531,-7669.677734375,-7714.538574219,-7903.137207031,-7586.669921875,-8049.621582031
,-2433.471679688,-4532.470703125,-5219.421386719,-6976.318359375,-7363.281250000,-7434.692382813,-7430.725097656,-7460.021972656,-7540.588378906,-7579.650878906,-7784.729003906,-7480.773925781,-7927.551269531
,-2368.774414063,-4420.471191406,-5086.669921875,-6817.321777344,-7218.017578125,-7301.940917969,-7299.804687500,-7344.360351563,-7428.588867188,-7463.684082031,-7682.189941406,-7387.695312500,-7822.875976563
,-2305.603027344,-4311.523437500,-4958.496093750,-6676.025390625,-7092.285156250,-7187.805175781,-7186.279296875,-7248.535156250,-7333.068847656,-7366.638183594,-7594.909667969,-7306.518554688,-7734.375000000
,-2244.567871094,-4205.017089844,-4835.205078125,-6553.039550781,-6984.863281250,-7092.590332031,-7089.538574219,-7171.630859375,-7253.723144531,-7286.682128906,-7522.583007813,-7238.159179688,-7661.437988281
,-2185.668945313,-4100.952148438,-4717.407226563,-6447.143554688,-6893.920898438,-7014.465332031,-7007.751464844,-7111.511230469,-7189.941406250,-7222.595214844,-7467.651367188,-7183.532714844,-7604.980468750
,-2128.601074219,-3999.328613281,-4603.881835938,-6355.285644531,-6817.626953125,-6951.293945313,-6938.171386719,-7068.176269531,-7146.301269531,-7173.767089844,-7432.861328125,-7147.521972656,-7567.749023438
,-2073.669433594,-3900.146484375,-4494.934082031,-6276.245117188,-6755.371093750,-6905.212402344,-6882.019042969,-7044.372558594,-7124.938964844,-7143.859863281,-7420.043945313,-7133.789062500,-7551.574707031
,-2021.179199219,-3803.100585938,-4389.343261719,-6210.327148438,-6708.679199219,-6877.136230469,-6841.125488281,-7040.405273438,-7126.464843750,-7136.230468750,-7429.504394531,-7141.723632813,-7554.931640625
,-1970.825195313,-3708.801269531,-4285.888671875,-6157.226562500,-6678.771972656,-6866.760253906,-6816.711425781,-7056.579589844,-7149.353027344,-7150.268554688,-7456.054687500,-7170.410156250,-7575.378417969
,-1921.997070313,-3616.333007813,-4184.875488281,-6118.469238281,-6666.259765625,-6873.779296875,-6809.997558594,-7090.148925781,-7186.889648438,-7185.058593750,-7492.065429688,-7212.524414063,-7604.675292969
,-1873.779296875,-3525.390625000,-4085.083007813,-6093.139648438,-6668.090820313,-6893.310546875,-6816.711425781,-7133.178710938,-7230.834960938,-7232.971191406,-7530.517578125,-7260.742187500,-7637.023925781
,-1825.561523438,-3436.584472656,-3986.511230469,-6076.049804688,-6679.992675781,-6917.724609375,-6830.444335938,-7178.039550781,-7275.390625000,-7285.766601563,-7564.697265625,-7308.959960938,-7667.236328125
,-1777.038574219,-3349.609375000,-3888.854980469,-6062.927246094,-6694.946289063,-6940.917968750,-6844.787597656,-7218.627929688,-7314.453125000,-7337.951660156,-7591.552734375,-7351.379394531,-7690.124511719
,-1728.515625000,-3263.854980469,-3793.029785156,-6047.973632813,-6705.932617188,-6957.397460938,-6854.248046875,-7249.755859375,-7345.275878906,-7383.422851563,-7611.694335938,-7387.695312500,-7706.909179688
,-1681.518554688,-3181.457519531,-3699.951171875,-6025.085449219,-6709.289550781,-6964.111328125,-6854.858398438,-7272.338867188,-7370.605468750,-7421.569824219,-7628.784179688,-7419.433593750,-7718.811035156
,-1635.742187500,-3101.806640625,-3609.924316406,-5995.788574219,-6702.270507813,-6964.111328125,-6848.449707031,-7289.733886719,-7391.357421875,-7454.833984375,-7644.653320313,-7448.425292969,-7729.492187500
,-1591.186523438,-3025.512695313,-3523.559570313,-5960.083007813,-6687.927246094,-6959.838867188,-6836.547851563,-7304.382324219,-7409.667968750,-7485.046386719,-7663.269042969,-7478.332519531,-7742.614746094
,-1547.851562500,-2952.575683594,-3439.331054688,-5921.630859375,-6669.921875000,-6954.650878906,-6821.899414063,-7319.946289063,-7427.978515625,-7514.648437500,-7687.377929688,-7510.375976563,-7759.399414063
,-1503.601074219,-2882.080078125,-3355.407714844,-5883.789062500,-6652.221679688,-6951.599121094,-6807.556152344,-7336.425781250,-7446.594238281,-7543.945312500,-7715.454101563,-7545.776367188,-7780.456542969
,-1458.435058594,-2813.720703125,-3271.179199219,-5845.642089844,-6636.657714844,-6949.157714844,-6794.128417969,-7353.210449219,-7467.651367188,-7574.157714844,-7748.107910156,-7585.449218750,-7807.006835938
,-1412.048339844,-2746.887207031,-3186.340332031,-5807.800292969,-6622.009277344,-6945.800781250,-6781.005859375,-7368.774414063,-7492.675781250,-7606.201171875,-7784.423828125,-7630.310058594,-7838.439941406
,-1364.135742188,-2680.969238281,-3100.891113281,-5767.211914063,-6607.360839844,-6936.950683594,-6764.526367188,-7380.676269531,-7521.667480469,-7639.465332031,-7821.655273438,-7679.748535156,-7875.061035156
,-1315.917968750,-2615.356445313,-3017.272949219,-5723.266601563,-6589.050292969,-6920.166015625,-6742.248535156,-7388.610839844,-7554.016113281,-7676.086425781,-7860.107421875,-7731.933593750,-7914.733886719
,-1269.226074219,-2551.269531250,-2936.706542969,-5676.269531250,-6567.687988281,-6893.310546875,-6712.036132813,-7391.357421875,-7586.059570313,-7713.623046875,-7897.338867188,-7783.813476563,-7953.491210938
,-1225.891113281,-2488.403320313,-2859.802246094,-5624.084472656,-6541.442871094,-6856.384277344,-6672.363281250,-7389.526367188,-7616.271972656,-7750.549316406,-7931.823730469,-7832.031250000,-7988.586425781
,-1186.828613281,-2427.368164063,-2785.949707031,-5568.542480469,-6509.704589844,-6813.659667969,-6628.417968750,-7385.253906250,-7642.822265625,-7785.949707031,-7959.289550781,-7871.093750000,-8013.610839844
,-1152.038574219,-2368.774414063,-2714.843750000,-5510.559082031,-6475.524902344,-6767.578125000,-6582.031250000,-7378.845214844,-7662.658691406,-7815.551757813,-7974.853515625,-7896.423339844,-8024.902343750
,-1120.300292969,-2310.180664063,-2644.958496094,-5451.049804688,-6437.377929688,-6721.496582031,-6535.949707031,-7367.553710938,-7673.339843750,-7835.693359375,-7970.581054688,-7902.221679688,-8015.441894531
,-1090.087890625,-2250.976562500,-2575.988769531,-5390.625000000,-6397.399902344,-6672.973632813,-6489.562988281,-7346.191406250,-7668.457031250,-7840.881347656,-7940.368652344,-7881.469726563,-7978.820800781
