Test Name,H-Reflex Inc-Dec
Test Item,Right M-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 22 mA","Tr 2 : 27 mA","Tr 3 : 27 mA","Tr 4 : 27 mA","Tr 5 : 39 mA","Tr 6 : 39 mA","Tr 7 : 39 mA","Tr 8 : 47 mA","Tr 9 : 47 mA","Tr 10 : 47 mA","Tr 11 : 47 mA","Tr 12 : 47 mA","Tr 13 : 47 mA","Tr 14 : 47 mA","Tr 15 : 47 mA","Tr 16 : 47 mA","Tr 17 : 47 mA","Tr 18 : 47 mA","Tr 19 : 47 mA","Tr 20 : 53 mA","Tr 21 : 62 mA","Tr 22 : 70 mA","Tr 23 : 73 mA","Tr 24 : 73 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),9086.608886719,3860.168457031,5884.704589844,3799.133300781,8602.600097656,3873.596191406,3731.994628906,8154.602050781,9655.761718750,4903.564453125,9240.112304688,6563.720703125,6034.545898438,3703.918457031,5776.062011719,5800.476074219,5689.086914063,3762.817382813,3543.395996094,9135.437011719,7004.089355469,9081.420898438,3722.839355469,3383.483886719
,7344.970703125,5386.962890625,6747.741699219,5307.922363281,8038.635253906,5432.128906250,5394.592285156,7914.428710938,8169.250488281,5749.816894531,8580.322265625,6766.357421875,6459.045410156,5277.099609375,6346.130371094,6372.070312500,6310.729980469,5162.353515625,4990.844726563,7075.195312500,7143.859863281,7150.268554688,5870.971679688,5106.201171875
,4776.916503906,5433.959960938,6417.541503906,5235.290527344,6238.098144531,5528.259277344,5637.207031250,6486.206054688,5511.169433594,4881.591796875,6884.155273438,5420.837402344,5255.737304688,5089.721679688,5307.006835938,5359.802246094,5330.505371094,4799.194335938,4657.897949219,3776.550292969,5801.696777344,4048.767089844,6366.271972656,5059.204101563
,1385.192871094,3993.530273438,4890.441894531,3574.829101563,3197.021484375,4156.799316406,4456.481933594,3864.135742188,1678.466796875,2286.682128906,4139.404296875,2517.089843750,2406.311035156,3103.942871094,2636.718750000,2746.582031250,2726.135253906,2631.530761719,2510.375976563,-769.042968750,2930.908203125,-256.652832031,5090.637207031,3153.686523438
,-1001.281738281,1069.030761719,2168.884277344,328.369140625,-1005.859375000,1322.326660156,1853.027343750,63.171386719,-2633.666992188,-2028.198242188,415.954589844,-1936.645507813,-2089.233398438,-686.950683594,-1664.733886719,-1466.979980469,-1503.295898438,-1345.825195313,-1455.383300781,-4830.627441406,-1482.543945313,-4039.001464844,1997.985839844,-639.038085938
,-2546.386718750,-1495.666503906,-188.293457031,-2556.762695313,-4292.907714844,-1202.697753906,-487.060546875,-2980.041503906,-5817.565917969,-5677.185058594,-2524.719238281,-5600.585937500,-5909.423828125,-4389.953613281,-5355.529785156,-5059.814453125,-5150.146484375,-4958.190917969,-4986.572265625,-7734.680175781,-5325.317382813,-6879.577636719,-2203.979492188,-4505.920410156
,-3250.427246094,-3174.743652344,-1757.507324219,-4474.487304688,-6459.045410156,-2856.140136719,-2026.672363281,-5006.713867188,-7801.818847656,-8095.703125000,-4503.784179688,-8042.602539063,-8500.671386719,-6992.492675781,-7861.633300781,-7485.351562500,-7630.920410156,-7449.951171875,-7388.305664063,-9385.070800781,-8042.297363281,-8602.294921875,-5568.847656250,-7373.352050781
,-3113.098144531,-3958.740234375,-2530.517578125,-5403.137207031,-7486.267089844,-3633.422851563,-2759.399414063,-5995.483398438,-8568.725585938,-9252.624511719,-5487.670898438,-9231.872558594,-9814.453125000,-8408.813476563,-9129.333496094,-8696.899414063,-8890.991210938,-8740.539550781,-8595.886230469,-9751.586914063,-9535.217285156,-9136.352539063,-7858.581542969,-9076.538085938
,-3049.011230469,-3849.182128906,-2506.103515625,-5338.439941406,-7411.193847656,-3538.513183594,-2684.020996094,-5950.012207031,-8464.050292969,-9145.812988281,-5502.319335938,-9164.428710938,-9836.730957031,-8612.060546875,-9143.981933594,-8684.997558594,-8916.320800781,-8806.762695313,-8593.139648438,-9692.687988281,-9765.930175781,-9323.120117188,-8980.102539063,-9552.001953125
,-2979.736328125,-3769.531250000,-2463.684082031,-5252.990722656,-7274.780273438,-3459.472656250,-2643.127441406,-5840.148925781,-8294.982910156,-8972.778320313,-5427.856445313,-9012.145996094,-9717.712402344,-8544.006347656,-9025.878906250,-8558.959960938,-8809.509277344,-8731.384277344,-8503.112792969,-9547.424316406,-9781.188964844,-9362.792968750,-9256.286621094,-9688.415527344
,-2906.494140625,-3681.335449219,-2411.804199219,-5141.906738281,-7115.478515625,-3377.075195313,-2593.994140625,-5707.702636719,-8104.248046875,-8768.920898438,-5321.655273438,-8825.683593750,-9541.625976563,-8398.132324219,-8854.980468750,-8388.366699219,-8651.123046875,-8586.120605469,-8358.154296875,-9367.675781250,-9707.031250000,-9338.684082031,-9335.021972656,-9689.941406250
,-2832.946777344,-3589.172363281,-2355.651855469,-5019.836425781,-6948.852539063,-3295.593261719,-2541.198730469,-5569.152832031,-7908.325195313,-8558.044433594,-5202.941894531,-8627.624511719,-9339.904785156,-8222.351074219,-8664.245605469,-8202.819824219,-8473.815917969,-8413.391113281,-8193.054199219,-9175.720214844,-9594.421386719,-9287.414550781,-9332.275390625,-9637.451171875
,-2760.925292969,-3495.483398438,-2299.194335938,-4895.324707031,-6781.005859375,-3217.773437500,-2487.182617188,-5432.739257813,-7714.843750000,-8350.219726563,-5081.481933594,-8429.870605469,-9128.417968750,-8037.109375000,-8468.933105469,-8015.441894531,-8291.931152344,-8232.116699219,-8020.935058594,-8980.407714844,-9467.163085938,-9224.548339844,-9294.433593750,-9565.734863281
,-2689.819335938,-3401.794433594,-2244.567871094,-4772.949218750,-6614.990234375,-3145.446777344,-2435.607910156,-5301.513671875,-7526.550292969,-8149.414062500,-4959.716796875,-8236.694335938,-8920.288085938,-7852.172851563,-8274.230957031,-7832.336425781,-8110.351562500,-8050.537109375,-7847.595214844,-8786.315917969,-9336.242675781,-9157.104492188,-9242.553710938,-9487.304687500
,-2620.544433594,-3309.020996094,-2192.077636719,-4654.541015625,-6453.247070313,-3079.528808594,-2387.695312500,-5177.307128906,-7344.665527344,-7956.237792969,-4838.867187500,-8049.621582031,-8716.125488281,-7671.203613281,-8083.190917969,-7655.029296875,-7932.128906250,-7871.398925781,-7676.086425781,-8598.022460938,-9205.627441406,-9086.608886719,-9185.791015625,-9406.433105469
,-2552.490234375,-3219.909667969,-2142.028808594,-4540.710449219,-6295.471191406,-3018.798828125,-2344.055175781,-5058.898925781,-7169.189453125,-7769.165039063,-4720.153808594,-7868.041992188,-8516.540527344,-7497.253417969,-7896.118164063,-7485.351562500,-7758.789062500,-7696.533203125,-7507.934570313,-8417.663574219,-9076.538085938,-9012.145996094,-9123.840332031,-9322.509765625
,-2484.741210938,-3133.239746094,-2092.590332031,-4430.541992188,-6142.578125000,-2962.036132813,-2304.077148438,-4945.373535156,-6998.596191406,-7586.669921875,-4604.492187500,-7691.650390625,-8319.396972656,-7329.711914063,-7713.928222656,-7325.134277344,-7591.247558594,-7525.634765625,-7346.496582031,-8248.291015625,-8949.890136719,-8933.715820313,-9056.091308594,-9233.398437500
,-2417.297363281,-3049.621582031,-2040.710449219,-4322.814941406,-5994.567871094,-2907.409667969,-2265.319824219,-4835.205078125,-6833.801269531,-7409.057617188,-4491.577148438,-7519.836425781,-8126.220703125,-7167.968750000,-7538.757324219,-7177.124023438,-7432.556152344,-7358.703613281,-7196.655273438,-8092.041015625,-8825.988769531,-8851.623535156,-8981.628417969,-9140.625000000
,-2350.769042969,-2968.444824219,-1986.083984375,-4217.529296875,-5851.745605469,-2854.919433594,-2226.867675781,-4727.172851563,-6673.278808594,-7234.191894531,-4382.629394531,-7352.600097656,-7938.232421875,-7013.244628906,-7373.352050781,-7044.067382813,-7283.935546875,-7196.350097656,-7060.546875000,-7949.523925781,-8707.580566406,-8768.615722656,-8901.672363281,-9045.715332031
,-2285.766601563,-2889.099121094,-1928.100585938,-4115.295410156,-5713.806152344,-2803.649902344,-2187.805175781,-4623.413085938,-6516.723632813,-7063.293457031,-4277.343750000,-7188.415527344,-7757.263183594,-6865.539550781,-7220.458984375,-6927.490234375,-7145.996093750,-7037.658691406,-6940.307617188,-7821.350097656,-8596.191406250,-8688.659667969,-8818.664550781,-8952.026367188
,-2223.510742188,-2812.500000000,-1868.591308594,-4015.502929688,-5579.833984375,-2753.906250000,-2148.437500000,-4522.094726563,-6362.915039063,-6896.057128906,-4175.415039063,-7025.451660156,-7583.007812500,-6725.158691406,-7079.772949219,-6827.392578125,-7018.432617188,-6882.019042969,-6837.463378906,-7708.740234375,-8494.567871094,-8614.196777344,-8736.877441406,-8863.525390625
,-2164.306640625,-2738.647460938,-1810.302734375,-3918.457031250,-5448.303222656,-2704.772949219,-2107.849121094,-4423.828125000,-6211.242675781,-6729.736328125,-4077.148437500,-6863.098144531,-7413.635253906,-6591.186523438,-6948.852539063,-6742.858886719,-6899.719238281,-6728.210449219,-6750.183105469,-7613.830566406,-8404.235839844,-8552.856445313,-8658.752441406,-8786.621093750
,-2107.543945313,-2667.236328125,-1755.065917969,-3824.462890625,-5319.519042969,-2653.503417969,-2066.040039063,-4327.087402344,-6062.011718750,-6565.246582031,-3980.712890625,-6701.354980469,-7247.009277344,-6463.012695313,-6825.256347656,-6676.025390625,-6788.940429688,-6574.401855469,-6679.382324219,-7541.198730469,-8332.214355469,-8512.878417969,-8592.529296875,-8728.942871094
,-2052.307128906,-2598.571777344,-1704.101562500,-3732.910156250,-5192.871093750,-2599.792480469,-2021.789550781,-4230.651855469,-5915.222167969,-6402.282714844,-3887.329101563,-6542.053222656,-7080.993652344,-6339.416503906,-6708.679199219,-6632.080078125,-6688.232421875,-6420.898437500,-6629.333496094,-7496.948242188,-8286.132812500,-8500.976562500,-8546.752929688,-8701.782226563
,-1997.680664063,-2532.043457031,-1656.799316406,-3643.798828125,-5069.885253906,-2544.860839844,-1975.402832031,-4133.911132813,-5772.399902344,-6241.455078125,-3797.912597656,-6387.329101563,-6915.283203125,-6223.449707031,-6601.257324219,-6616.210937500,-6600.341796875,-6266.784667969,-6605.529785156,-7486.572265625,-8274.230957031,-8525.390625000,-8530.578613281,-8712.768554688
,-1943.969726563,-2467.651367188,-1612.548828125,-3556.518554688,-4951.171875000,-2488.708496094,-1926.574707031,-4037.475585938,-5634.765625000,-6084.899902344,-3712.768554688,-6239.318847656,-6752.014160156,-6119.079589844,-6509.094238281,-6631.774902344,-6529.541015625,-6113.891601563,-6611.938476563,-7508.850097656,-8300.781250000,-8579.406738281,-8552.551269531,-8762.207031250
,-1891.784667969,-2404.785156250,-1570.739746094,-3471.069335938,-4836.730957031,-2434.997558594,-1877.136230469,-3942.565917969,-5500.793457031,-5931.701660156,-3632.812500000,-6097.412109375,-6592.712402344,-6028.442382813,-6433.105468750,-6674.194335938,-6475.830078125,-5963.745117188,-6647.949218750,-7555.236816406,-8358.459472656,-8656.311035156,-8607.177734375,-8841.552734375
,-1841.430664063,-2342.834472656,-1530.761718750,-3388.366699219,-4726.257324219,-2383.422851563,-1828.002929688,-3850.097656250,-5371.093750000,-5782.775878906,-3555.908203125,-5959.777832031,-6438.598632813,-5953.369140625,-6372.375488281,-6733.093261719,-6434.936523438,-5817.871093750,-6704.711914063,-7614.135742188,-8436.889648438,-8742.980957031,-8686.523437500,-8935.546875000
,-1793.212890625,-2282.104492188,-1491.699218750,-3308.105468750,-4618.225097656,-2333.984375000,-1779.785156250,-3760.681152344,-5244.140625000,-5637.512207031,-3481.750488281,-5822.753906250,-6289.062500000,-5889.892578125,-6322.021484375,-6797.790527344,-6401.062011719,-5677.185058594,-6770.019531250,-7671.813964844,-8520.812988281,-8827.819824219,-8776.550292969,-9032.287597656
,-1746.520996094,-2222.595214844,-1454.467773438,-3230.590820313,-4511.718750000,-2286.376953125,-1734.924316406,-3674.011230469,-5118.408203125,-5495.605468750,-3408.508300781,-5686.035156250,-6143.188476563,-5832.214355469,-6272.888183594,-6856.384277344,-6365.356445313,-5541.076660156,-6831.359863281,-7721.557617188,-8600.769042969,-8909.301757813,-8865.356445313,-9122.314453125
,-1701.660156250,-2164.611816406,-1418.457031250,-3155.212402344,-4406.127929688,-2238.769531250,-1693.725585938,-3588.867187500,-4995.422363281,-5357.971191406,-3335.876464844,-5548.706054688,-6000.061035156,-5775.451660156,-6221.008300781,-6904.907226563,-6321.105957031,-5409.545898438,-6884.765625000,-7761.535644531,-8672.180175781,-8979.492187500,-8952.026367188,-9202.575683594
,-1658.325195313,-2109.375000000,-1383.666992188,-3081.054687500,-4301.147460938,-2190.551757813,-1655.273437500,-3505.249023438,-4875.793457031,-5223.693847656,-3264.160156250,-5412.597656250,-5859.375000000,-5714.721679688,-6166.076660156,-6941.833496094,-6267.700195313,-5281.677246094,-6927.185058594,-7790.832519531,-8733.215332031,-9043.579101563,-9032.287597656,-9274.291992188
,-1615.600585938,-2055.664062500,-1350.708007813,-3008.728027344,-4198.913574219,-2142.028808594,-1620.178222656,-3423.156738281,-4760.131835938,-5092.163085938,-3193.664550781,-5279.846191406,-5721.740722656,-5650.024414063,-6107.788085938,-6969.604492188,-6203.918457031,-5156.250000000,-6960.144042969,-7813.720703125,-8786.621093750,-9103.698730469,-9108.886718750,-9340.209960938
,-1573.791503906,-2003.784179688,-1317.749023438,-2937.927246094,-4100.341796875,-2092.285156250,-1586.914062500,-3341.979980469,-4650.268554688,-4963.378906250,-3125.000000000,-5150.451660156,-5588.073730469,-5583.190917969,-6051.940917969,-6993.408203125,-6133.728027344,-5035.095214844,-6988.525390625,-7831.420898438,-8837.280273438,-9163.513183594,-9182.128906250,-9406.127929688
,-1532.287597656,-1952.819824219,-1286.010742188,-2868.957519531,-4005.126953125,-2043.151855469,-1554.260253906,-3262.329101563,-4544.067382813,-4836.120605469,-3057.861328125,-5023.803710938,-5458.068847656,-5517.578125000,-6001.586914063,-7016.296386719,-6062.316894531,-4916.076660156,-7013.854980469,-7850.952148438,-8893.432617188,-9233.703613281,-9254.150390625,-9480.895996094
,-1491.394042969,-1901.245117188,-1254.272460938,-2802.124023438,-3913.269042969,-1994.018554688,-1523.132324219,-3183.593750000,-4440.917968750,-4710.693359375,-2992.858886719,-4900.207519531,-5331.726074219,-5457.153320313,-5959.167480469,-7043.762207031,-5991.821289063,-4800.109863281,-7043.151855469,-7875.976562500,-8963.317871094,-9317.321777344,-9333.496093750,-9572.448730469
,-1452.026367188,-1849.670410156,-1223.144531250,-2736.206054688,-3823.547363281,-1945.190429688,-1492.309570313,-3104.858398438,-4339.904785156,-4588.012695313,-2929.992675781,-4779.052734375,-5208.435058594,-5404.357910156,-5926.513671875,-7076.721191406,-5925.903320313,-4686.889648438,-7080.993652344,-7909.851074219,-9053.344726563,-9414.978027344,-9425.048828125,-9677.429199219
,-1413.879394531,-1796.569824219,-1192.932128906,-2671.813964844,-3735.656738281,-1896.057128906,-1461.181640625,-3027.038574219,-4241.027832031,-4467.773437500,-2868.957519531,-4661.254882813,-5088.500976563,-5359.191894531,-5901.489257813,-7114.257812500,-5865.783691406,-4576.110839844,-7127.990722656,-7949.523925781,-9160.156250000,-9519.042968750,-9532.775878906,-9784.851074219
,-1376.953125000,-1743.469238281,-1163.330078125,-2608.947753906,-3649.902343750,-1847.534179688,-1429.748535156,-2948.913574219,-4146.728515625,-4352.416992188,-2810.363769531,-4548.339843750,-4973.144531250,-5319.519042969,-5880.432128906,-7152.099609375,-5807.189941406,-4468.688964844,-7179.565429688,-7984.619140625,-9272.155761719,-9617.919921875,-9651.794433594,-9880.371093750
,-1340.942382813,-1690.979003906,-1133.728027344,-2546.997070313,-3566.284179688,-1800.537109375,-1398.620605469,-2872.314453125,-4057.006835938,-4242.553710938,-2754.821777344,-4440.307617188,-4860.229492188,-5280.761718750,-5856.628417969,-7180.175781250,-5746.154785156,-4364.624023438,-7225.036621094,-8006.286621094,-9375.915527344,-9696.655273438,-9767.456054688,-9945.678710938
,-1303.405761719,-1640.319824219,-1103.210449219,-2486.877441406,-3485.412597656,-1756.286621094,-1369.628906250,-2797.546386719,-3971.557617188,-4138.488769531,-2701.721191406,-4336.242675781,-4750.671386719,-5237.121582031,-5821.838378906,-7189.941406250,-5677.490234375,-4263.916015625,-7253.723144531,-8002.624511719,-9453.125000000,-9742.736816406,-9866.027832031,-9982.299804688
,-1264.953613281,-1593.322753906,-1070.556640625,-2426.757812500,-3407.287597656,-1715.393066406,-1343.994140625,-2724.304199219,-3889.770507813,-4039.306640625,-2650.451660156,-4235.839843750,-4644.165039063,-5185.546875000,-5771.484375000,-7173.156738281,-5596.923828125,-4165.649414063,-7256.164550781,-7969.360351563,-9495.544433594,-9750.061035156,-9934.997558594,-9997.558593750
,-1224.975585938,-1549.987792969,-1036.376953125,-2366.638183594,-3332.214355469,-1677.246093750,-1320.800781250,-2654.724121094,-3808.288574219,-3943.176269531,-2600.097656250,-4137.268066406,-4539.489746094,-5125.122070313,-5703.735351563,-7126.770019531,-5504.760742188,-4069.519042969,-7227.478027344,-7905.578613281,-9499.511718750,-9716.186523438,-9967.346191406,-9999.694824219
