Test Name,H-Reflex Inc-Dec
Test Item,Right Increasing -> M-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 14.5 mA","Tr 3 : 14.5 mA","Tr 4 : 20 mA","Tr 5 : 30 mA","Tr 6 : 55 mA","Tr 7 : 61 mA","Tr 8 : 65 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,6291.961669922,9371.185302734,7444.000244141,9248.352050781,16094.970703125,8922.576904297,8374.786376953
,42.724609375,10690.307617188,14076.995849609,12301.635742188,15199.279785156,19647.979736328,14971.923828125,14283.752441406
,43.487548828,14739.990234375,17596.435546875,16222.381591797,19923.400878906,22311.401367188,19792.938232422,19291.687011719
,43.487548828,17612.457275391,19969.177246094,18816.375732422,23139.190673828,23981.475830078,23080.444335938,22752.380371094
,44.250488281,18404.388427734,19570.922851563,19036.865234375,23649.597167969,23020.172119141,24031.066894531,24076.080322266
,45.013427734,16432.952880859,16375.732421875,16557.312011719,20869.445800781,19356.536865234,21534.729003906,21920.776367188
,45.013427734,12694.549560547,11714.172363281,12534.332275391,16217.041015625,13889.312744141,17058.563232422,17613.983154297
,46.539306641,7628.631591797,5625.915527344,7199.096679688,9835.052490234,6830.596923828,10732.269287109,11451.721191406
,47.302246094,2928.161621094,1212.310791016,2677.917480469,4091.644287109,1439.666748047,4116.058349609,4581.451416016
,48.065185547,-3.814697266,-1430.511474609,-312.805175781,158.691406250,-2146.148681641,-572.204589844,-320.434570313
,48.065185547,-1578.521728516,-2559.661865234,-1877.593994141,-2040.863037109,-3945.159912109,-3486.633300781,-3450.775146484
,46.539306641,-1818.847656250,-2233.123779297,-2051.544189453,-2513.122558594,-4052.734375000,-4580.688476563,-4757.690429688
,45.013427734,-1557.922363281,-1986.694335938,-1908.111572266,-2436.065673828,-4086.303710938,-4611.968994141,-4791.259765625
,42.724609375,-1504.516601563,-1879.882812500,-1823.425292969,-2394.866943359,-4107.666015625,-4677.581787109,-4877.471923828
,41.198730469,-1461.791992188,-1795.959472656,-1753.234863281,-2354.431152344,-4105.377197266,-4695.892333984,-4911.041259766
,40.435791016,-1424.407958984,-1725.006103516,-1692.199707031,-2313.232421875,-4084.777832031,-4685.211181641,-4911.804199219
,38.909912109,-1390.838623047,-1662.445068359,-1638.031005859,-2272.033691406,-4051.208496094,-4655.456542969,-4890.441894531
,38.146972656,-1360.321044922,-1606.750488281,-1588.439941406,-2232.360839844,-4009.246826172,-4614.257812500,-4852.294921875
,36.621093750,-1332.092285156,-1557.159423828,-1544.189453125,-2193.450927734,-3960.418701172,-4563.903808594,-4801.940917969
,35.858154297,-1306.152343750,-1512.145996094,-1503.753662109,-2156.066894531,-3908.538818359,-4508.972167969,-4743.194580078
