Test Name,H-Reflex Inc-Dec
Test Item,Right Decreasing -> H-max
Patient Name,"week5  s2802mytb"
Patient ID,
Test Date,7/6/2017
Trace Label,"Tr 1 : 31 mA : 500 탎","Tr 2 : 20 mA : 500 탎","Tr 3 : 15 mA : 500 탎","Tr 4 : 12.5 mA : 500 탎","Tr 5 : 10 mA : 500 탎","Tr 6 : 8 mA : 500 탎","Tr 7 : 6 mA : 500 탎","Tr 8 : 7 mA : 500 탎","Tr 9 : 7.5 mA : 500 탎","Tr 10 : 8 mA : 500 탎","Tr 11 : 8.5 mA : 500 탎","Tr 12 : 8.5 mA : 500 탎","Tr 13 : 8.5 mA : 500 탎","Tr 14 : 8 mA : 500 탎","Tr 15 : 8 mA : 500 탎","Tr 16 : 9 mA : 500 탎","Tr 17 : 9.5 mA : 500 탎","Tr 18 : 9 mA : 500 탎"
Sensitivity (킮/Div),5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (킮),-4332.733154297,-8715.820312500,-2402.496337891,-2574.157714844,-1434.326171875,-2883.911132813,-1673.126220703,-1111.602783203,-2790.069580078,-1602.935791016,-3790.283203125,-1930.236816406,-1872.253417969,-1145.172119141,-1654.815673828,-3756.713867188,-1448.059082031,-1394.653320313
,-7772.827148438,-10045.623779297,-4329.681396484,-4130.554199219,-2613.067626953,-3613.281250000,-2391.052246094,-2020.263671875,-3368.377685547,-2708.435058594,-4273.223876953,-3015.136718750,-2999.114990234,-2114.868164063,-2742.004394531,-4354.858398438,-2617.645263672,-2521.514892578
,-11302.947998047,-10997.772216797,-6290.435791016,-5372.619628906,-3798.675537109,-4109.191894531,-2914.428710938,-2935.791015625,-3755.187988281,-3617.858886719,-4589.843750000,-3844.451904297,-3882.598876953,-3217.315673828,-3612.518310547,-4739.379882813,-3832.244873047,-3701.019287109
,-13781.738281250,-11167.144775391,-7646.942138672,-6179.809570313,-4608.154296875,-4279.327392578,-3228.759765625,-3553.771972656,-3791.809082031,-4207.611083984,-4451.751708984,-4355.621337891,-4434.204101563,-3971.099853516,-4157.257080078,-4685.974121094,-4650.115966797,-4479.980468750
,-15118.408203125,-9946.441650391,-8180.999755859,-6089.782714844,-4993.438720703,-3615.570068359,-2893.829345703,-3810.882568359,-3121.185302734,-4072.570800781,-3673.553466797,-4057.312011719,-4218.292236328,-4342.651367188,-3973.388671875,-3882.598876953,-5039.215087891,-4753.112792969
,-14218.902587891,-7559.204101563,-7273.864746094,-5001.831054688,-4460.144042969,-2420.806884766,-2115.631103516,-3292.083740234,-1995.086669922,-3261.566162109,-2416.229248047,-3041.839599609,-3241.729736328,-3717.803955078,-3135.681152344,-2556.610107422,-4478.454589844,-3997.039794922
,-11688.995361328,-4380.035400391,-5445.861816406,-3387.451171875,-3359.222412109,-920.867919922,-1089.477539063,-2330.017089844,-593.566894531,-2062.988281250,-834.655761719,-1674.652099609,-1887.512207031,-2507.781982422,-1933.288574219,-901.794433594,-3331.756591797,-2662.658691406
,-8124.542236328,-1268.768310547,-3040.313720703,-1330.566406250,-1898.956298828,633.239746094,153.350830078,-1090.240478516,706.481933594,-555.419921875,437.927246094,-7.629394531,-224.304199219,-994.873046875,-439.453125000,552.368164063,-1836.395263672,-1004.028320313
,-3758.239746094,544.738769531,-566.101074219,198.364257813,-234.985351563,1194.000244141,704.956054688,253.295898438,1164.245605469,413.513183594,1004.028320313,920.104980469,822.448730469,696.563720703,484.466552734,1142.120361328,-126.647949219,679.016113281
,-802.612304688,1480.865478516,730.895996094,983.428955078,627.136230469,1353.454589844,954.437255859,843.811035156,1264.953613281,916.290283203,1168.060302734,1271.057128906,1239.776611328,1293.182373047,954.437255859,1309.204101563,714.111328125,1295.471191406
,1028.442382813,1567.840576172,1362.609863281,1249.694824219,1059.722900391,1151.275634766,916.290283203,1084.136962891,1037.597656250,1041.412353516,955.200195313,1239.013671875,1261.138916016,1451.110839844,1053.619384766,1082.611083984,1119.232177734,1468.658447266
,1757.812500000,1255.035400391,1360.321044922,1026.916503906,1084.899902344,733.184814453,621.032714844,999.450683594,689.697265625,817.871093750,702.667236328,858.306884766,920.104980469,1242.828369141,810.241699219,751.495361328,1113.128662109,1243.591308594
,1521.301269531,1167.297363281,1000.213623047,820.159912109,802.612304688,638.580322266,535.583496094,693.511962891,605.010986328,680.541992188,620.269775391,665.283203125,700.378417969,754.547119141,672.912597656,661.468505859,785.064697266,797.271728516
,1435.852050781,1102.447509766,914.764404297,742.340087891,722.503662109,576.019287109,473.022460938,608.825683594,545.501708984,605.773925781,562.286376953,588.989257813,617.980957031,637.054443359,596.618652344,597.381591797,691.986083984,691.986083984
,1368.713378906,1053.619384766,852.966308594,688.934326172,662.994384766,530.242919922,430.297851563,547.790527344,503.540039063,553.894042969,520.324707031,537.109375000,563.049316406,569.915771484,543.975830078,552.368164063,624.084472656,623.321533203
,1316.833496094,1016.235351563,807.189941406,649.261474609,619.506835938,495.910644531,399.017333984,504.302978516,470.733642578,513.458251953,488.281250000,498.962402344,522.613525391,522.613525391,503.540039063,517.272949219,576.019287109,574.493408203
,1275.634765625,983.428955078,771.331787109,616.455078125,585.174560547,469.207763672,373.840332031,470.733642578,445.556640625,481.414794922,462.341308594,469.207763672,490.570068359,487.518310547,471.496582031,487.518310547,538.635253906,536.346435547
,1241.302490234,955.200195313,742.340087891,589.752197266,556.945800781,447.082519531,352.478027344,443.267822266,424.957275391,457.000732422,440.979003906,444.030761719,465.393066406,460.052490234,445.556640625,463.104248047,506.591796875,504.302978516
,1209.259033203,930.023193359,717.926025391,566.101074219,534.820556641,428.771972656,333.404541016,421.142578125,406.646728516,437.164306641,422.668457031,422.668457031,443.267822266,438.690185547,423.431396484,441.741943359,480.651855469,477.600097656
,1181.030273438,905.609130859,696.563720703,544.738769531,515.747070313,413.513183594,316.619873047,402.069091797,389.862060547,419.616699219,406.646728516,404.357910156,423.431396484,421.905517578,405.120849609,422.668457031,457.763671875,454.711914063
