Test Name,H-Reflex Inc-Dec
Test Item,Left Decreasing -> H-max
Patient Name,"week5  s2811mytb"
Patient ID,
Test Date,6/4/2019
Trace Label,"Tr 1 : 100 mA","Tr 2 : 84 mA","Tr 3 : 28 mA","Tr 4 : 28 mA","Tr 5 : 41 mA","Tr 6 : 43 mA","Tr 7 : 45 mA","Tr 8 : 47 mA","Tr 9 : 48 mA","Tr 10 : 49 mA","Tr 11 : 51 mA","Tr 12 : 53 mA","Tr 13 : 55 mA","Tr 14 : 57 mA","Tr 15 : 58 mA","Tr 16 : 59 mA","Tr 17 : 60 mA","Tr 18 : 61 mA","Tr 19 : 62 mA","Tr 20 : 63 mA","Tr 21 : 66 mA","Tr 22 : 68 mA","Tr 23 : 48 mA","Tr 24 : 46 mA","Tr 25 : 43 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),13236.999511719,11931.610107422,4713.439941406,17989.349365234,11761.474609375,10137.939453125,16707.611083984,11557.769775391,6657.409667969,4438.781738281,8395.385742188,4326.629638672,4286.956787109,8673.095703125,6317.901611328,19699.096679688,4489.898681641,11423.492431641,11602.783203125,21828.460693359,17647.552490234,12136.077880859,8630.371093750,11967.468261719,17997.741699219
,17934.417724609,17158.508300781,9373.474121094,20787.048339844,17044.830322266,16001.892089844,20021.820068359,16934.204101563,11984.252929688,8971.405029297,14222.717285156,8805.084228516,8737.182617188,14621.734619141,11537.933349609,21815.490722656,9026.336669922,16841.125488281,16960.906982422,23078.918457031,20586.395263672,17270.660400391,14487.457275391,17169.189453125,20792.388916016
,21456.146240234,21078.491210938,15463.256835938,22884.368896484,21006.011962891,20463.562011719,22506.713867188,20966.339111328,17570.495605469,15028.381347656,19240.570068359,14818.572998047,14727.020263672,19531.250000000,17240.905761719,23402.404785156,15084.075927734,20902.252197266,20980.072021484,24030.303955078,22790.527343750,21120.452880859,19429.016113281,21068.572998047,22886.657714844
,23810.577392578,23691.558837891,20156.860351563,24034.881591797,23656.463623047,23449.707031250,24165.344238281,23654.174804688,21597.290039063,19838.714599609,22708.892822266,19683.837890625,19615.173339844,22903.442382813,21382.141113281,24312.591552734,19876.098632813,23621.368408203,23658.752441406,24351.501464844,24260.711669922,23696.136474609,22827.911376953,23678.588867188,24161.529541016
,24990.081787109,24826.812744141,23307.037353516,22469.329833984,23822.784423828,24685.668945313,23565.673828125,24575.042724609,24048.614501953,23109.436035156,24615.478515625,23007.965087891,22962.188720703,24273.681640625,23967.742919922,22702.026367188,23132.324218750,24066.162109375,24695.587158203,22234.344482422,23606.109619141,24079.895019531,24655.914306641,23892.974853516,22856.140136719
,24993.896484375,22681.427001953,23818.969726563,18351.745605469,20694.732666016,22499.847412109,20166.778564453,22145.080566406,23477.172851563,24187.469482422,23303.985595703,24215.698242188,24250.030517578,21926.879882813,23783.111572266,18446.350097656,24318.695068359,21018.218994141,22332.000732422,17695.617675781,20089.721679688,20966.339111328,23207.855224609,20775.604248047,18871.307373047
,24997.711181641,18393.707275391,20885.467529297,12397.766113281,15629.577636719,18344.116210938,14791.870117188,17742.919921875,19970.703125000,21601.867675781,19637.298583984,21746.826171875,21833.801269531,17253.112792969,20469.665527344,12065.887451172,21779.632568359,15880.584716797,17857.360839844,11013.793945313,14423.370361328,15684.509277344,19464.874267578,15662.384033203,12913.513183594
,23708.343505859,11898.803710938,15995.025634766,5113.983154297,8613.586425781,12236.785888672,7430.267333984,11351.013183594,14476.013183594,16860.198974609,13958.740234375,17050.933837891,17132.568359375,10472.869873047,15056.610107422,3845.214843750,16992.950439453,8617.401123047,11237.335205078,2812.957763672,6580.352783203,8190.917968750,13709.259033203,8531.188964844,5228.424072266
,20053.100585938,3508.758544922,9219.360351563,35.858154297,1976.776123047,4727.172851563,939.941406250,3810.882568359,7024.383544922,10089.874267578,6282.806396484,10300.445556641,10343.170166016,2482.604980469,7519.531250000,-2537.536621094,10063.934326172,1060.485839844,3061.676025391,-3296.661376953,-668.334960938,292.968750000,5988.311767578,1567.840576172,-678.253173828
,13971.710205078,-3185.272216797,2722.167968750,-3163.909912109,-2660.369873047,-844.573974609,-3595.733642578,-1710.510253906,496.673583984,2558.898925781,-83.923339844,2611.541748047,2462.005615234,-3293.609619141,271.606445313,-6838.226318359,2014.160156250,-4355.621337891,-3155.517578125,-7351.684570313,-5853.271484375,-5405.426025391,-290.679931641,-3352.355957031,-4607.391357422
,5403.900146484,-7850.646972656,-1746.368408203,-4512.786865234,-5367.279052734,-4502.868652344,-6163.024902344,-5283.355712891,-3984.069824219,-2756.500244141,-4507.446289063,-2876.281738281,-3199.768066406,-7041.931152344,-4895.782470703,-9031.677246094,-3811.645507813,-7727.050781250,-7316.589355469,-9292.602539063,-8927.154541016,-8990.478515625,-4631.042480469,-6297.302246094,-6567.382812500
,-3098.297119141,-10357.666015625,-4331.970214844,-4266.357421875,-6123.352050781,-6208.801269531,-6739.807128906,-6867.218017578,-6488.800048828,-6098.175048828,-6930.541992188,-6377.410888672,-6845.092773438,-8704.376220703,-7995.605468750,-9237.670898438,-7582.855224609,-8990.478515625,-9349.060058594,-9400.177001953,-9832.763671875,-10387.420654297,-6970.214843750,-7231.140136719,-6671.905517578
,-9393.310546875,-10815.429687500,-5028.533935547,-4193.115234375,-6082.916259766,-6224.822998047,-6745.910644531,-6869.506835938,-7014.465332031,-7423.400878906,-7341.766357422,-7841.491699219,-8422.851562500,-8705.139160156,-8978.271484375,-9276.580810547,-9238.433837891,-9037.017822266,-9523.010253906,-9463.500976563,-9936.523437500,-10469.055175781,-7309.722900391,-7230.377197266,-6661.224365234
,-13362.121582031,-10991.668701172,-4908.752441406,-4129.791259766,-6050.872802734,-6216.430664063,-6718.444824219,-6867.218017578,-6990.051269531,-7348.632812500,-7380.676269531,-7804.107666016,-8407.592773438,-8744.049072266,-9033.966064453,-9264.373779297,-9259.033203125,-9072.875976563,-9580.230712891,-9455.108642578,-9959.411621094,-10523.223876953,-7346.343994141,-7225.799560547,-6632.232666016
,-14884.948730469,-11038.208007813,-4850.006103516,-4064.178466797,-5994.415283203,-6169.128417969,-6661.987304688,-6822.967529297,-6970.214843750,-7353.210449219,-7360.839843750,-7826.232910156,-8441.162109375,-8721.160888672,-9045.410156250,-9208.679199219,-9304.809570313,-9044.647216797,-9563.446044922,-9400.939941406,-9921.264648438,-10499.572753906,-7321.929931641,-7180.786132813,-6578.063964844
,-15189.361572266,-11011.505126953,-4778.289794922,-3996.276855469,-5921.936035156,-6101.989746094,-6588.745117188,-6758.117675781,-6919.097900391,-7313.537597656,-7308.197021484,-7794.952392578,-8417.510986328,-8663.177490234,-9004.211425781,-9126.281738281,-9283.447265625,-8981.323242188,-9504.699707031,-9318.542480469,-9847.259521484,-10431.671142578,-7266.235351563,-7114.410400391,-6507.873535156
,-15322.113037109,-10940.551757813,-4701.232910156,-3928.375244141,-5841.827392578,-6024.932861328,-6504.821777344,-6680.297851563,-6848.907470703,-7247.924804688,-7236.480712891,-7733.917236328,-8360.290527344,-8582.305908203,-8934.783935547,-9027.099609375,-9222.412109375,-8896.636962891,-9419.250488281,-9220.123291016,-9751.892089844,-10338.592529297,-7192.993164063,-7036.590576172,-6428.527832031
,-15328.216552734,-10842.132568359,-4621.124267578,-3861.236572266,-5759.429931641,-5941.009521484,-6416.320800781,-6595.611572266,-6766.510009766,-7166.290283203,-7152.557373047,-7654.571533203,-8280.181884766,-8487.701416016,-8843.994140625,-8919.525146484,-9136.962890625,-8798.980712891,-9317.779541016,-9112.548828125,-9644.317626953,-10229.492187500,-7109.069824219,-6950.378417969,-6344.604492188
,-15260.314941406,-10727.691650391,-4541.015625000,-3796.386718750,-5675.506591797,-5852.508544922,-6327.056884766,-6507.873535156,-6678.009033203,-7074.737548828,-7064.056396484,-7562.255859375,-8187.103271484,-8386.230468750,-8743.286132813,-8806.610107422,-9037.780761719,-8692.932128906,-9207.916259766,-9000.396728516,-9529.876708984,-10111.999511719,-7019.042968750,-6861.114501953,-6258.392333984
,-15148.162841797,-10603.332519531,-4462.432861328,-3733.825683594,-5593.109130859,-5764.007568359,-6237.792968750,-6418.609619141,-6586.456298828,-6980.133056641,-6972.503662109,-7464.599609375,-8087.921142578,-8281.707763672,-8636.474609375,-8689.880371094,-8929.443359375,-8583.831787109,-9092.712402344,-8885.955810547,-9412.384033203,-9989.166259766,-6926.727294922,-6769.561767578,-6170.654296875
,-15008.544921875,-10474.395751953,-4386.138916016,-3673.553466797,-5510.711669922,-5675.506591797,-6150.054931641,-6328.582763672,-6494.140625000,-6884.765625000,-6880.950927734,-7363.891601563,-7985.687255859,-8175.659179688,-8525.848388672,-8573.913574219,-8817.291259766,-8472.442626953,-8976.745605469,-8771.514892578,-9293.365478516,-9864.807128906,-6833.648681641,-6677.246093750,-6083.679199219
,-14852.905273438,-10343.933105469,-4312.133789063,-3613.281250000,-5429.077148438,-5589.294433594,-6063.842773438,-6240.081787109,-6403.350830078,-6790.924072266,-6788.635253906,-7263.183593750,-7882.690429688,-8068.847656250,-8413.696289063,-8457.946777344,-8702.087402344,-8361.816406250,-8860.778808594,-8657.073974609,-9174.346923828,-9738.159179688,-6740.570068359,-6586.456298828,-5995.941162109
,-14688.110351563,-10213.470458984,-4239.654541016,-3554.534912109,-5348.205566406,-5506.134033203,-5976.867675781,-6151.580810547,-6312.561035156,-6697.845458984,-6697.082519531,-7164.001464844,-7780.456542969,-7962.799072266,-8302.307128906,-8345.031738281,-8586.883544922,-8251.953125000,-8745.574951172,-8544.158935547,-9056.091308594,-9613.037109375,-6649.017333984,-6496.429443359,-5909.729003906
,-14517.974853516,-10082.244873047,-4167.938232422,-3498.840332031,-5269.622802734,-5424.499511719,-5890.655517578,-6064.605712891,-6222.534179688,-6605.529785156,-6606.292724609,-7066.345214844,-7678.222656250,-7857.513427734,-8191.680908203,-8235.168457031,-8470.916748047,-8144.378662109,-8630.371093750,-8433.532714844,-8938.598632813,-9489.440917969,-6558.990478516,-6408.691406250,-5825.805664063
,-14347.839355469,-9953.308105469,-4098.510742188,-3443.908691406,-5194.091796875,-5345.916748047,-5806.732177734,-5980.682373047,-6134.033203125,-6513.977050781,-6515.502929688,-6968.688964844,-7576.751708984,-7753.753662109,-8081.817626953,-8126.068115234,-8357.238769531,-8038.330078125,-8517.456054688,-8323.669433594,-8823.394775391,-9367.370605469,-6471.252441406,-6322.479248047,-5742.645263672
