Test Name,H-Reflex Inc-Dec
Test Item,Left Increasing -> M-max
Patient Name,"week5  s2811mytb"
Patient ID,
Test Date,6/4/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 0 mA","Tr 3 : 11 mA","Tr 4 : 14.5 mA","Tr 5 : 30 mA","Tr 6 : 30 mA","Tr 7 : 30 mA","Tr 8 : 46 mA","Tr 9 : 52 mA","Tr 10 : 62 mA","Tr 11 : 100 mA","Tr 12 : 100 mA","Tr 13 : 100 mA","Tr 14 : 100 mA","Tr 15 : 100 mA","Tr 16 : 100 mA","Tr 17 : 100 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,-6.103515625,9650.421142578,13212.585449219,4141.235351563,14098.358154297,8767.700195313,17343.139648438,15901.184082031,7566.833496094,8449.554443359,6823.730468750,10192.871093750,13160.705566406,8396.148681641,15553.283691406,11092.376708984
,45.013427734,-6.103515625,15305.328369141,17925.262451172,8543.395996094,18452.453613281,14731.597900391,20404.052734375,19531.250000000,13194.274902344,14278.411865234,12208.557128906,16042.327880859,17888.641357422,14234.924316406,19327.545166016,16641.235351563
,48.065185547,-6.866455078,19931.793212891,21459.960937500,14495.086669922,21717.071533203,19609.069824219,22698.974609375,22252.655029297,18481.445312500,19278.717041016,17739.868164063,20487.213134766,21433.258056641,19252.014160156,22157.287597656,20801.544189453
,51.879882813,-8.392333984,23088.836669922,23817.443847656,19447.326660156,23899.078369141,22953.796386719,24230.194091797,24074.554443359,22209.167480469,22732.543945313,21710.968017578,23461.151123047,23802.947998047,22718.048095703,24047.851562500,23587.036132813
,56.457519531,-9.155273438,24761.199951172,24714.660644531,22853.851318359,24192.047119141,24674.224853516,24413.299560547,24910.736083984,24380.493164063,24638.366699219,24130.249023438,24964.904785156,24990.081787109,24633.026123047,24993.896484375,24983.215332031
,61.798095703,-9.918212891,22906.494140625,22149.658203125,24654.388427734,21114.349365234,22752.380371094,21628.570556641,22913.360595703,24703.979492188,24662.780761719,24988.555908203,24997.711181641,24993.896484375,24997.711181641,24995.422363281,24990.081787109
,67.138671875,-9.918212891,18980.407714844,17778.778076172,22853.851318359,16160.583496094,18649.291992188,16819.000244141,18875.885009766,22342.681884766,22269.439697266,24521.636962891,24960.327148438,24945.831298828,24997.711181641,24851.226806641,24967.956542969
,71.716308594,-9.155273438,13240.051269531,11625.671386719,18717.956542969,9347.534179688,12691.497802734,9958.648681641,12754.058837891,17867.279052734,17751.312255859,21899.414062500,23098.754882813,23117.065429688,24565.887451172,22686.004638672,23372.650146484
,76.293945313,-9.155273438,5757.141113281,4280.090332031,12656.402587891,2291.107177734,5049.133300781,2200.317382813,4693.603515625,11228.942871094,11018.371582031,17073.822021484,19001.007080078,18973.541259766,21855.926513672,18195.343017578,19435.882568359
,80.871582031,-9.918212891,634.002685547,-241.088867188,4781.341552734,-2036.285400391,-230.407714844,-3218.078613281,-1617.431640625,2986.907958984,2695.465087891,9960.174560547,12566.375732422,12438.201904297,16811.370849609,11295.318603516,13095.092773438
,84.686279297,-9.918212891,-2528.381347656,-2883.911132813,-897.216796875,-4438.781738281,-3426.361083984,-6656.646728516,-5950.927734375,-3295.898437500,-3800.964355469,1457.977294922,3816.986083984,3557.586669922,9344.482421875,2227.020263672,4354.858398438
,89.263916016,-10.681152344,-3797.912597656,-3691.864013672,-4361.724853516,-4951.477050781,-4737.854003906,-8059.692382813,-8224.487304688,-7542.419433594,-8348.846435547,-5091.094970703,-3700.256347656,-4251.098632813,275.421142578,-5294.799804688,-3738.403320313
,93.841552734,-9.918212891,-3258.514404297,-2992.248535156,-5878.448486328,-4393.768310547,-4267.120361328,-7980.346679688,-8481.597900391,-9658.050537109,-10776.519775391,-9613.037109375,-9176.635742188,-9924.316406250,-6728.363037109,-10668.945312500,-9650.421142578
,98.419189453,-9.155273438,-2984.619140625,-2808.380126953,-5517.578125000,-4261.779785156,-4045.104980469,-8024.597167969,-8551.788330078,-9887.695312500,-11323.547363281,-11933.898925781,-12416.839599609,-13316.345214844,-11567.687988281,-13730.621337891,-13259.124755859
,103.759765625,-8.392333984,-2791.595458984,-2675.628662109,-5288.696289063,-4158.020019531,-3939.056396484,-8007.049560547,-8541.870117188,-9992.218017578,-11654.663085938,-12435.150146484,-13351.440429688,-14365.386962891,-14069.366455078,-14526.367187500,-14485.931396484
,107.574462891,-6.866455078,-2653.503417969,-2578.735351563,-5204.010009766,-4067.230224609,-3852.081298828,-7952.880859375,-8489.227294922,-10002.899169922,-11808.776855469,-12744.140625000,-13710.021972656,-14728.546142578,-14575.195312500,-14862.060546875,-14804.077148438
,112.915039063,-5.340576172,-2545.166015625,-2500.152587891,-5131.530761719,-3986.358642578,-3775.787353516,-7877.349853516,-8411.407470703,-9960.174560547,-11853.790283203,-12875.366210938,-13867.950439453,-14908.599853516,-14877.319335938,-15014.648437500,-14955.902099609
,117.492675781,-3.051757813,-2454.376220703,-2434.539794922,-5060.577392578,-3911.590576172,-3704.833984375,-7791.900634766,-8319.091796875,-9886.169433594,-11831.665039063,-12902.069091797,-13909.149169922,-14962.768554688,-15001.678466797,-15050.506591797,-14986.419677734
,121.307373047,-0.762939453,-2375.793457031,-2377.319335938,-4989.624023438,-3841.400146484,-3638.458251953,-7698.822021484,-8219.909667969,-9792.327880859,-11767.578125000,-12863.159179688,-13878.631591797,-14936.828613281,-15021.514892578,-15013.122558594,-14942.932128906
,125.885009766,0.000000000,-2306.365966797,-2326.965332031,-4917.907714844,-3776.550292969,-3577.423095703,-7601.928710938,-8115.386962891,-9685.516357422,-11676.788330078,-12785.339355469,-13801.574707031,-14860.534667969,-14974.212646484,-14929.962158203,-14854.431152344
,128.936767578,0.762939453,-2242.279052734,-2280.426025391,-4849.243164063,-3714.752197266,-3518.676757813,-7504.272460938,-8009.338378906,-9571.075439453,-11571.502685547,-12683.105468750,-13697.052001953,-14752.197265625,-14884.948730469,-14817.810058594,-14736.175537109
,131.988525391,1.525878906,-2185.058593750,-2235.412597656,-4780.578613281,-3656.005859375,-3461.456298828,-7404.327392578,-7901.763916016,-9452.819824219,-11457.824707031,-12566.375732422,-13574.981689453,-14624.023437500,-14768.981933594,-14686.584472656,-14599.609375000
,134.277343750,2.288818359,-2131.652832031,-2193.450927734,-4713.439941406,-3598.785400391,-3405.761718750,-7304.382324219,-7794.952392578,-9333.801269531,-11338.806152344,-12439.727783203,-13442.993164063,-14483.642578125,-14636.230468750,-14543.914794922,-14451.599121094
,135.803222656,3.051757813,-2082.061767578,-2153.778076172,-4647.827148438,-3543.853759766,-3353.118896484,-7205.963134766,-7688.903808594,-9214.782714844,-11217.498779297,-12307.739257813,-13304.901123047,-14336.395263672,-14492.034912109,-14395.904541016,-14297.485351563
,138.092041016,5.340576172,-2036.285400391,-2116.394042969,-4581.451416016,-3489.685058594,-3301.239013672,-7109.069824219,-7583.618164063,-9097.290039063,-11093.139648438,-12172.698974609,-13163.757324219,-14185.333251953,-14342.498779297,-14244.079589844,-14140.319824219
,140.380859375,7.629394531,-1992.797851563,-2081.298828125,-4516.601562500,-3437.042236328,-3250.885009766,-7013.702392578,-7480.621337891,-8979.797363281,-10968.780517578,-12036.895751953,-13020.324707031,-14034.271240234,-14189.910888672,-14089.965820313,-13981.628417969
,141.906738281,9.155273438,-1952.362060547,-2047.729492188,-4454.040527344,-3385.162353516,-3202.056884766,-6919.097900391,-7378.387451172,-8863.067626953,-10845.184326172,-11901.092529297,-12877.655029297,-13882.446289063,-14035.797119141,-13937.377929688,-13823.699951172
,142.669677734,10.681152344,-1913.452148438,-2015.686035156,-4393.768310547,-3333.282470703,-3154.754638672,-6825.256347656,-7277.679443359,-8748.626708984,-10721.588134766,-11767.578125000,-12734.985351563,-13731.384277344,-13881.683349609,-13784.027099609,-13665.771484375
,142.669677734,12.207031250,-1876.068115234,-1982.879638672,-4334.259033203,-3282.928466797,-3107.452392578,-6731.414794922,-7178.497314453,-8634.185791016,-10601.043701172,-11634.826660156,-12594.604492188,-13583.374023438,-13728.332519531,-13631.439208984,-13509.368896484
,141.906738281,13.732910156,-1840.972900391,-1953.125000000,-4275.512695313,-3234.863281250,-3060.913085938,-6640.625000000,-7082.366943359,-8522.796630859,-10481.262207031,-11505.889892578,-12456.512451172,-13435.363769531,-13576.507568359,-13481.903076172,-13356.781005859
,140.380859375,16.784667969,-1805.877685547,-1924.896240234,-4216.766357422,-3186.798095703,-3015.899658203,-6552.124023438,-6989.288330078,-8413.696289063,-10364.532470703,-11377.716064453,-12319.946289063,-13288.879394531,-13426.971435547,-13333.892822266,-13205.718994141
,138.854980469,19.073486328,-1772.308349609,-1897.430419922,-4157.257080078,-3140.258789063,-2971.649169922,-6465.911865234,-6898.498535156,-8306.121826172,-10250.091552734,-11251.831054688,-12184.143066406,-13145.446777344,-13278.961181641,-13188.171386719,-13056.945800781
,137.329101563,21.362304688,-1740.264892578,-1869.964599609,-4100.036621094,-3095.245361328,-2928.161621094,-6381.225585938,-6809.997558594,-8200.836181641,-10137.176513672,-11127.471923828,-12049.865722656,-13002.777099609,-13133.239746094,-13044.738769531,-12910.461425781
,135.803222656,22.125244141,-1708.984375000,-1843.261718750,-4043.579101563,-3050.994873047,-2886.962890625,-6297.302246094,-6722.259521484,-8097.076416016,-10026.550292969,-11003.875732422,-11916.351318359,-12862.396240234,-12989.807128906,-12903.594970703,-12765.502929688
,132.751464844,22.125244141,-1679.229736328,-1815.795898438,-3987.884521484,-3007.507324219,-2845.764160156,-6214.141845703,-6635.284423828,-7994.842529297,-9915.924072266,-10882.568359375,-11784.362792969,-12724.304199219,-12847.137451172,-12763.214111328,-12622.070312500
,128.173828125,22.125244141,-1651.763916016,-1789.093017578,-3932.952880859,-2965.545654297,-2804.565429688,-6132.507324219,-6549.072265625,-7894.897460938,-9807.586669922,-10762.023925781,-11653.900146484,-12587.738037109,-12706.756591797,-12625.122070313,-12480.926513672
,123.596191406,22.888183594,-1625.061035156,-1762.390136719,-3876.495361328,-2925.109863281,-2765.655517578,-6053.161621094,-6465.148925781,-7796.478271484,-9700.775146484,-10642.242431641,-11525.726318359,-12452.697753906,-12567.901611328,-12488.555908203,-12341.308593750
